# mHc, mA, xsec
70, 15, 1.5434336886674151
70, 16, 1.4414484899550528
70, 17, 1.3513735144286443
70, 18, 1.2690285028665478
70, 19, 1.1920354709198488
70, 20, 1.119001434475662
70, 21, 1.049103629122227
70, 22, 0.9818630328777292
70, 23, 0.9170133563813382
70, 24, 0.8544216595638421
70, 25, 0.7940384129715946
70, 26, 0.7358651248764659
70, 27, 0.6799328415870065
70, 28, 0.626287616169822
70, 29, 0.5749805598781612
70, 30, 0.526061027829255
70, 31, 0.479571932813138
70, 32, 0.4355466392253953
70, 33, 0.39400691325773796
70, 34, 0.3549617353610271
70, 35, 0.31840670746146765
70, 36, 0.284323913350262
70, 37, 0.2526821512202087
70, 38, 0.2234374339283237
70, 39, 0.19653369019035255
70, 40, 0.17190364258098592
70, 41, 0.14946979497316099
70, 42, 0.12914551199001195
70, 43, 0.11083616423090846
70, 44, 0.09444031159276199
70, 45, 0.0798509109697106
70, 46, 0.06695652871727412
70, 47, 0.05564254444237073
70, 48, 0.04579233664318476
70, 49, 0.03728843631089642
70, 50, 0.030013641293451996
70, 51, 0.023852080612994674
70, 52, 0.018690225130955015
70, 53, 0.014417832857561758
70, 54, 0.010928826532000634
70, 55, 0.008122094637126345
70, 56, 0.0059022113654612195
70, 57, 0.004180069067999281
70, 58, 0.0028734172907137643
70, 59, 0.0019073020618127954
70, 60, 0.0012143989385351704
70, 61, 0.0007352325340450268
70, 62, 0.0004182749689177542
70, 63, 0.00021991467093837746
70, 64, 0.00010428641566755835
70, 65, 4.295239258894442e-05
71, 15, 1.639831205183306
71, 16, 1.533117863539686
71, 17, 1.4389814731050576
71, 18, 1.352986395152678
71, 19, 1.272603875077993
71, 20, 1.1963480024328872
71, 21, 1.1233372122945184
71, 22, 1.0530549144844072
71, 23, 0.985211003300067
71, 24, 0.919657945354587
71, 25, 0.8563379786492921
71, 26, 0.7952488612661712
71, 27, 0.736421097102669
71, 28, 0.6799025131791465
71, 29, 0.6257476768522198
71, 30, 0.5740105999730437
71, 31, 0.5247397035345329
71, 32, 0.47797441781259564
71, 33, 0.4337429240486685
71, 34, 0.3920607712552704
71, 35, 0.35293014447767646
71, 36, 0.31633959535869277
71, 37, 0.28226416522785985
71, 38, 0.25066579909569225
71, 39, 0.22149396902006255
71, 40, 0.1946864789689728
71, 41, 0.17017040352147547
71, 42, 0.14786311531751795
71, 43, 0.1276733933346715
71, 44, 0.10950257206201806
71, 45, 0.09324572502882784
71, 46, 0.07879285881259959
71, 47, 0.06603010383565136
71, 48, 0.0548408931940551
71, 49, 0.04510711704808091
71, 50, 0.036710239276154785
71, 51, 0.029532374552892218
71, 52, 0.023457312834598922
71, 53, 0.01837148730935777
71, 54, 0.014164878876307914
71, 55, 0.010731850761307421
71, 56, 0.007971908220354316
71, 57, 0.005790378119731616
71, 58, 0.004099002144136524
71, 59, 0.002816438975007943
71, 60, 0.0018686689325931078
71, 61, 0.0011892951086034734
71, 62, 0.0007197345016387161
71, 63, 0.0004092914500057244
71, 64, 0.00021510569400294465
71, 65, 0.0001019661279464738
71, 66, 4.1980682794864e-05
72, 15, 1.7401718817942653
72, 16, 1.628574382787526
72, 17, 1.5302534256486497
72, 18, 1.4405068611606586
72, 19, 1.3566482760206884
72, 20, 1.277094278395763
72, 21, 1.200901344851598
72, 22, 1.127513012108468
72, 23, 1.0566136291597121
72, 24, 0.9880397388623875
72, 25, 0.9217242852107315
72, 26, 0.8576604378997171
72, 27, 0.7958774677867407
72, 28, 0.7364244278321737
72, 29, 0.6793588974015083
72, 30, 0.6247391940331198
72, 31, 0.5726189702292466
72, 32, 0.5230435284223891
72, 33, 0.47604732868784094
72, 34, 0.4316524196959545
72, 35, 0.3898675495817744
72, 36, 0.35068777301554727
72, 37, 0.3140944548372852
72, 38, 0.2800556016015073
72, 39, 0.2485263926260228
72, 40, 0.2194499294632073
72, 41, 0.1927580999739838
72, 42, 0.16837256622078678
72, 43, 0.14620582725787934
72, 44, 0.1261623336622233
72, 45, 0.10813964356475543
72, 46, 0.0920295959847489
72, 47, 0.07771948553606593
72, 48, 0.06509323330550858
72, 49, 0.054032535067473776
72, 50, 0.044417982431233904
72, 51, 0.03613014432477024
72, 52, 0.029050604885675745
72, 53, 0.02306294817361526
72, 54, 0.018053685773367436
72, 55, 0.01391311886433298
72, 56, 0.010536132293566328
72, 57, 0.007822914248822341
72, 58, 0.005679596063549219
72, 59, 0.004018808565379537
72, 60, 0.0027601482797743786
72, 61, 0.0018305492574138473
72, 62, 0.0011645539882834469
72, 63, 0.0007044774008769557
72, 64, 0.0004004569655852915
72, 65, 0.00021038126762113927
72, 66, 9.968883221516488e-05
72, 67, 4.102785490205691e-05
73, 15, 1.8445347079307295
73, 16, 1.727888689912452
73, 17, 1.6252536160266675
73, 18, 1.5316492538370343
73, 19, 1.4442243382422117
73, 20, 1.3612932330041787
73, 21, 1.2818471267809164
73, 22, 1.205287265075838
73, 23, 1.1312706218203477
73, 24, 1.059616387278937
73, 25, 0.9902470942244648
73, 26, 0.9231504001967153
73, 27, 0.8583536137317691
73, 28, 0.795906411453994
73, 29, 0.7358688844688971
73, 30, 0.6783032649347279
73, 31, 0.6232681299404536
73, 32, 0.5708144184462866
73, 33, 0.5209826941722453
73, 34, 0.47380140243172714
73, 35, 0.4292858035994867
73, 36, 0.3874374580435233
73, 37, 0.3482441126463492
73, 38, 0.311679930469653
73, 39, 0.27770594505494745
73, 40, 0.24627073064385194
73, 41, 0.2173112121512814
73, 42, 0.19075359800556704
73, 43, 0.16651439382755162
73, 44, 0.14450148405784718
73, 45, 0.12461525659003751
73, 46, 0.10674975232043375
73, 47, 0.09079382228387352
73, 48, 0.07663228649057206
73, 49, 0.06414707528996834
73, 50, 0.05321835010021272
73, 51, 0.04372558738316082
73, 52, 0.03554862657035592
73, 53, 0.028568667073064196
73, 54, 0.022669214968963045
73, 55, 0.01773696931273775
73, 56, 0.013662644072748309
73, 57, 0.010341722558725036
73, 58, 0.007675137466995514
73, 59, 0.0055698735530341995
73, 60, 0.003939487333550065
73, 61, 0.002704539748984242
73, 62, 0.001792936299183712
73, 63, 0.0011401692782111402
73, 64, 0.0006894562234700495
73, 65, 0.0003917679678852189
73, 66, 0.00020573917585564597
73, 67, 9.745330565608625e-05
73, 68, 4.009333641027614e-05
74, 15, 1.9530022261141275
74, 16, 1.8311334298848259
74, 17, 1.7240470680892812
74, 18, 1.626472711275089
74, 19, 1.5353867018715759
74, 20, 1.4489961452532805
74, 21, 1.3662234374995093
74, 22, 1.2864249538167
74, 23, 1.2092283528591534
74, 24, 1.1344339492981947
74, 25, 1.061952651836921
74, 26, 0.9917656248120871
74, 27, 0.9238974143285021
74, 28, 0.8583976479111453
74, 29, 0.7953283985315166
74, 30, 0.73475536458167
74, 31, 0.6767416945529937
74, 32, 0.6213436843461927
74, 33, 0.5686078010010391
74, 34, 0.5185687374251128
74, 35, 0.4712481931755915
74, 36, 0.4266541991262147
74, 37, 0.38478090529268
74, 38, 0.34560870664118776
74, 39, 0.3091045992764689
74, 40, 0.2752227938894109
