# mHc, mA, xsec
70, 15, 75.88620402707578
70, 16, 72.52198109222883
70, 17, 69.54735314137437
70, 18, 66.78751777462536
70, 19, 64.14024783345893
70, 20, 61.54408531825062
70, 21, 58.96210571759955
70, 22, 56.373001546162655
70, 23, 53.76588109504603
70, 24, 51.13706975173138
70, 25, 48.48804664629034
70, 26, 45.8240414888367
70, 27, 43.15303508969438
70, 28, 40.48500439948945
70, 29, 37.83132439564481
70, 30, 35.20427064088536
70, 31, 32.61658906998551
70, 32, 30.081116055016967
70, 33, 27.610437776864085
70, 34, 25.21658615521584
70, 35, 22.91076708431204
70, 36, 20.70312870735518
70, 37, 18.602565774790367
70, 38, 16.616566891606194
70, 39, 14.75110311405275
70, 40, 13.01056117719749
70, 41, 11.397719264359838
70, 42, 9.913763427132105
70, 43, 8.558342797124872
70, 44, 7.329657392404741
70, 45, 6.2245752068644995
70, 46, 5.238771881332552
70, 47, 4.366887091546998
70, 48, 3.602692310191996
70, 49, 2.9392635350304834
70, 50, 2.3691546468913436
70, 51, 1.8845662253615885
70, 52, 1.4775066851063878
70, 53, 1.1399422547067657
70, 54, 0.8639339798945348
70, 55, 0.6417599440993915
70, 56, 0.4660219598143751
70, 57, 0.32973623601029134
70, 58, 0.2264080317442286
70, 59, 0.1500905400937459
70, 60, 0.09542845530085727
70, 61, 0.05768669590761062
70, 62, 0.03276479564782553
70, 63, 0.01719735891075925
70, 64, 0.008140862364143232
70, 65, 0.003346901477843905
71, 15, 78.81217832386086
71, 16, 75.43770485443089
71, 17, 72.46675751853434
71, 18, 69.71807442928706
71, 19, 67.08515219687666
71, 20, 64.50346923073509
71, 21, 61.93376436225587
71, 22, 59.352863475485535
71, 23, 56.74833817400427
71, 24, 54.11523004171162
71, 25, 51.45394878695021
71, 26, 48.7688501137325
71, 27, 46.067231816975564
71, 28, 43.35857808840658
71, 29, 40.65396840691592
71, 30, 37.96558177670845
71, 31, 35.30627084557464
71, 32, 32.689180247398454
71, 33, 30.127401248623272
71, 34, 27.633656765511105
71, 35, 25.220014665902305
71, 36, 22.897634535023883
71, 37, 20.67654811158228
71, 38, 18.56547695209234
71, 39, 16.571690500919168
71, 40, 14.700906620165119
71, 41, 12.957235116992713
71, 42, 11.343163113543572
71, 43, 9.859581571470635
71, 44, 8.505847912790655
71, 45, 7.2798818252315
71, 46, 6.178288277048454
71, 47, 5.1965019874039005
71, 48, 4.328947580224896
71, 49, 3.5692094877008067
71, 50, 2.910206201950146
71, 51, 2.3443633242008595
71, 52, 1.863781962404296
71, 53, 1.460397951771567
71, 54, 1.1261298402600832
71, 55, 0.8530130991751674
71, 56, 0.633319440275099
71, 57, 0.4596603391310411
71, 58, 0.32507454378905687
71, 59, 0.22309957931784283
71, 60, 0.14782765274812867
71, 61, 0.09394643273252792
71, 62, 0.05676524364886436
71, 63, 0.03222722792268216
71, 64, 0.0169079094201345
71, 65, 0.008000462200290964
71, 66, 0.00328781806548114
72, 15, 81.68037638142508
72, 16, 78.30140904371976
72, 17, 75.34006989429753
72, 18, 72.60881431686158
72, 19, 69.9969663362182
72, 20, 67.43699969173669
72, 21, 64.88734185799419
72, 22, 62.32295046787387
72, 23, 59.72983391956535
72, 24, 57.101702264043915
72, 25, 54.43782658391318
72, 26, 51.741600379846126
72, 27, 49.01953043065595
72, 28, 46.280486994326516
72, 29, 43.53511713111618
72, 30, 40.79535873899881
72, 31, 38.07402030886482
72, 32, 35.38440363606875
72, 33, 32.739957130504756
72, 34, 30.153956362472893
