# mHc, mA, xsec
70, 15, 16.049914123512366
70, 16, 15.117924786287674
70, 17, 14.294105750510582
70, 18, 13.536722643161513
70, 19, 12.821936844408572
70, 20, 12.135789879231769
70, 21, 11.470127224592996
70, 22, 10.820362904606691
70, 23, 10.184177728294076
70, 24, 9.560721457757213
70, 25, 8.95010122547282
70, 26, 8.353042034931415
70, 27, 7.770652064766608
70, 28, 7.204257368445777
70, 29, 6.655281028392831
70, 30, 6.125154094754845
70, 31, 5.615249082537892
70, 32, 5.126829834269926
70, 33, 4.661014632553437
70, 34, 4.218749243163368
70, 35, 3.8007884778772927
70, 36, 3.4076848011512237
70, 37, 3.039782966736755
70, 38, 2.6972196560594983
70, 39, 2.3799276566877356
70, 40, 2.08764370277933
70, 41, 1.8199195798602577
70, 42, 1.5761357038896353
70, 43, 1.355516868276137
70, 44, 1.1571494983642012
70, 45, 0.9800000890348664
70, 46, 0.8229342974140976
70, 47, 0.6847363286840197
70, 48, 0.5641283142678769
70, 49, 0.4597893157934764
70, 50, 0.3703737312133041
70, 51, 0.29452885992928257
70, 52, 0.23091145257734882
70, 53, 0.1782030992579247
70, 54, 0.13512432536208432
70, 55, 0.10044731695483207
70, 56, 0.07300720128325072
70, 57, 0.05171182280566989
70, 58, 0.035549982993984396
70, 59, 0.02359809922167571
70, 60, 0.01502524552775039
70, 61, 0.009096540235513867
70, 62, 0.0051748274716989975
70, 63, 0.002720594984632382
70, 64, 0.0012900544148758254
70, 65, 0.0005312934884116121
71, 15, 16.881587282708455
71, 16, 15.923864020831923
71, 17, 15.078941871211942
71, 18, 14.303006915383007
71, 19, 13.57095260149424
71, 20, 12.868007755703148
71, 21, 12.185479866369311
71, 22, 11.518422146045603
71, 23, 10.86427541341571
71, 24, 10.22203590674487
71, 25, 9.591722268738163
71, 26, 8.974021435885183
71, 27, 8.370044527137303
71, 28, 7.781153323670019
71, 29, 7.208834262672119
71, 30, 6.654604602080948
71, 31, 6.119941578837022
71, 32, 5.606228759228096
71, 33, 5.114715686438638
71, 34, 4.64648768467354
71, 35, 4.202444416014037
71, 36, 3.7832856130465977
71, 37, 3.3895030378387303
71, 38, 3.0213775858782084
71, 39, 2.6789812753577538
71, 40, 2.36218303644137
71, 41, 2.0706580144759377
71, 42, 1.8038997080554475
71, 43, 1.561234445974051
71, 44, 1.3418377011669862
71, 45, 1.1447518416156157
71, 46, 0.9689047628722574
71, 47, 0.8131290613620709
71, 48, 0.6761814151478049
71, 49, 0.5567617748992988
71, 50, 0.45353212241808755
71, 51, 0.3651345343230915
71, 52, 0.29020834701537784
71, 53, 0.22740626936820896
71, 54, 0.1754092856016051
71, 55, 0.13294025705227863
71, 56, 0.09877614700525199
71, 57, 0.07175879592789973
71, 58, 0.05080421599920288
71, 59, 0.034910362990001644
71, 60, 0.02316335504806865
71, 61, 0.014742113360632188
71, 62, 0.008921383889141238
71, 63, 0.005073102088315417
71, 64, 0.002666042960271566
71, 65, 0.0012636896759819142
71, 66, 0.000520234998312159
72, 15, 17.724922249703422
72, 16, 16.742188749636913
72, 17, 15.876986495754377
72, 18, 15.083394469794822
72, 19, 14.335016467906474
72, 20, 13.616249900259714
72, 21, 12.917847392206514
72, 22, 12.234485563451521
72, 23, 11.56334974270113
72, 24, 10.903268191813405
72, 25, 10.254156943736481
72, 26, 9.61665197633845
72, 27, 8.991854566317686
72, 28, 8.381151176066513
72, 29, 7.78608148147566
72, 30, 7.208240062024192
72, 31, 6.649201616337726
72, 32, 6.110463663746103
72, 33, 5.593402937273781
72, 34, 5.099241893402438
72, 35, 4.6290243643957965
72, 36, 4.183598261613658
72, 37, 3.763604901537602
72, 38, 3.369473473442414
72, 39, 3.0014206247104873
72, 40, 2.6594541368838165
72, 41, 2.3433803019244364
72, 42, 2.052814344822295
72, 43, 1.7871935444811662
72, 44, 1.5457924302941155
72, 45, 1.3277396360847484
72, 46, 1.1320359292331954
72, 47, 0.9575730848235345
72, 48, 0.8031530600451973
72, 49, 0.6675072942044393
72, 50, 0.5493157116840074
72, 51, 0.4472251931154143
72, 52, 0.359867283383969
72, 53, 0.2858749634057954
72, 54, 0.22389830181158552
72, 55, 0.1726188859120603
72, 56, 0.1307629385438715
72, 57, 0.09711304384067966
72, 58, 0.07051843815012644
72, 59, 0.04990383485491707
72, 60, 0.03427674300134801
72, 61, 0.022733269444416355
72, 62, 0.014462371080444392
72, 63, 0.008748532701822052
72, 64, 0.004972829788938806
72, 65, 0.0026123283138250646
72, 66, 0.001237756338947788
72, 67, 0.0005093681058488654
73, 15, 18.578028649153058
73, 16, 17.57105982240807
73, 17, 16.686449329975886
73, 18, 15.876145280409007
