# mHc, mA, xsec
70, 15, 4.2146211719626825
70, 16, 3.946140715348026
70, 17, 3.7088788255304688
70, 18, 3.4915647565373167
70, 19, 3.287786468807514
70, 20, 3.093795082246198
70, 21, 2.9073898509842744
70, 22, 2.7273083278769805
70, 23, 2.552872567629563
70, 24, 2.3837740853319764
70, 25, 2.2199376218134828
70, 26, 2.0614322688469278
70, 27, 1.9084116745336743
70, 28, 1.7610731889419267
70, 29, 1.6196293556750074
70, 30, 1.4842879676538159
70, 31, 1.3552381093453676
70, 32, 1.2326404075341404
70, 33, 1.116620596469537
70, 34, 1.0072653145901511
70, 35, 0.9046198555352862
70, 36, 0.8086872979858128
70, 37, 0.7194287690876233
70, 38, 0.6367646280853813
70, 39, 0.5605763322190771
70, 40, 0.4907089096771015
70, 41, 0.4269738155560284
70, 42, 0.3691521980369912
70, 43, 0.3169983508311443
70, 44, 0.2702433666107443
70, 45, 0.22859888194873695
70, 46, 0.1917608728356443
70, 47, 0.15941343136226813
70, 48, 0.13123249463420694
70, 49, 0.1068894734779443
70, 50, 0.08605475751334708
70, 51, 0.06840105727625721
70, 52, 0.053606561568236774
70, 53, 0.041357887305785546
70, 54, 0.031352802026095035
70, 55, 0.02330270022196941
70, 56, 0.016934817995554723
70, 57, 0.01199416975318611
70, 58, 0.008245193697023664
70, 59, 0.005473089100502471
70, 60, 0.003484830192572711
70, 61, 0.0021098386874893018
70, 62, 0.0012002962479440616
70, 63, 0.0006310752085207099
70, 64, 0.0002992634980016278
70, 65, 0.0001232569930736102
71, 15, 4.464026899732839
71, 16, 4.184661450596604
71, 17, 3.938117385074345
71, 18, 3.7124763595868107
71, 19, 3.500941680656794
71, 20, 3.299525583451466
71, 21, 3.1058753467530305
71, 22, 2.9186310561396978
71, 23, 2.7370531700824614
71, 24, 2.560796093202124
71, 25, 2.3897647413982215
71, 26, 2.2240208548962106
71, 27, 2.063719942582936
71, 28, 1.9090680859658742
71, 29, 1.760291703582081
71, 30, 1.6176162853332159
71, 31, 1.481251395914976
71, 32, 1.3513801065458435
71, 33, 1.228151816073509
71, 34, 1.1116774962879499
71, 35, 1.0020269084050073
71, 36, 0.899227301330274
71, 37, 0.8032632938494894
71, 38, 0.714077701756046
71, 39, 0.6315731557410154
71, 40, 0.555614275243048
71, 41, 0.48603036517174136
71, 42, 0.42261846308451406
71, 43, 0.36514668249886806
71, 44, 0.3133577446598113
71, 45, 0.2669726402651557
71, 46, 0.2256943801781341
71, 47, 0.1892117401154801
71, 48, 0.15720298753535678
71, 49, 0.12933952959680836
71, 50, 0.1052894557082712
71, 51, 0.08472093662343443
71, 52, 0.06730545976948396
71, 53, 0.05272086931463638
71, 54, 0.040654201076645524
71, 55, 0.030804281307260144
71, 56, 0.0228840872260498
71, 57, 0.016622843618854372
71, 58, 0.011767848219404341
71, 59, 0.008086010273526328
71, 60, 0.0053650876761551685
71, 61, 0.0034146088773051282
71, 62, 0.002066463054694963
71, 63, 0.0011751404026393163
71, 64, 0.0006176025408342727
71, 65, 0.00029276013876972844
71, 66, 0.00012053230948836136
72, 15, 4.721571686009246
72, 16, 4.431141928271668
72, 17, 4.175198651879214
72, 18, 3.941154154072822
72, 19, 3.721812795085209
72, 20, 3.5129384232072
72, 21, 3.312019251981314
72, 22, 3.1175925729530776
72, 23, 2.928853016782077
72, 24, 2.7454144837726164
72, 25, 2.5671592413683992
72, 26, 2.394139375760996
72, 27, 2.2265103373628103
72, 28, 2.0644853659027858
72, 29, 1.9083035054205741
72, 30, 1.7582069660236346
72, 31, 1.6144251060122186
72, 32, 1.4771629673763431
72, 33, 1.346593403204078
72, 34, 1.2228517064178126
72, 35, 1.1060323222547337
72, 36, 0.9961870633597282
72, 37, 0.8933246057477067
72, 38, 0.7974109787135667
72, 39, 0.7083708613199062
72, 40, 0.6260894994464486
72, 41, 0.5504151795709504
72, 42, 0.4811620915321042
72, 43, 0.41811350294783617
72, 44, 0.3610251873221015
72, 45, 0.3096289720402911
72, 46, 0.26363643924466346
72, 47, 0.22274262368029193
72, 48, 0.1866297265839614
72, 49, 0.15497077056194783
72, 50, 0.12743316774268076
72, 51, 0.1036821684617956
72, 52, 0.08338415898207599
72, 53, 0.06620978245996477
72, 54, 0.051836870283390256
72, 55, 0.039953156021027676
72, 56, 0.030258760644367735
72, 57, 0.02246843463940294
72, 58, 0.01631354372082731
72, 59, 0.011543785950690742
72, 60, 0.007928627182718589
72, 61, 0.005258442948715791
72, 62, 0.0033453527965902567
72, 63, 0.002023732287397493
72, 64, 0.001150385329852377
72, 65, 0.0006043581441835824
72, 66, 0.0002863732344587263
72, 67, 0.00011785892154248907
73, 15, 4.987165521868815
73, 16, 4.68549190226977
73, 17, 4.4200345165424615
73, 18, 4.177513989828738
73, 19, 3.950321535843481
73, 20, 3.733962737195782
73, 21, 3.5257596086229173
73, 22, 3.3241411347502954
73, 23, 3.12823174157092
73, 24, 2.9376012499767463
73, 25, 2.7521063332949947
73, 26, 2.57178694758707
73, 27, 2.3967964241707835
73, 28, 2.227353457738504
73, 29, 2.063708309467771
73, 30, 1.9061188252813897
73, 31, 1.7548333056114438
73, 32, 1.6100781756222253
73, 33, 1.4720494156997364
73, 34, 1.3409065228280204
73, 35, 1.2167687106326666
73, 36, 1.0997126533809005
73, 37, 0.9897715727190063
73, 38, 0.8869353588549509
73, 39, 0.7911515413285228
73, 40, 0.7023269554992551
73, 41, 0.6203299402122635
73, 42, 0.5449930286608645
73, 43, 0.47611593464602864
73, 44, 0.41346884959798685
73, 45, 0.3567958834239566
73, 46, 0.3058186875933318
73, 47, 0.26024009903824985
73, 48, 0.21974782721411473
73, 49, 0.18401810516294026
73, 50, 0.15271927505908464
73, 51, 0.12551527024690454
73, 52, 0.10206896926124029
73, 53, 0.08204538569543787
73, 54, 0.06511468410499263
73, 55, 0.0509549965778568
73, 56, 0.03925502094020959
73, 57, 0.029716393844318345
73, 58, 0.022055819441257004
73, 59, 0.016006947313528603
73, 60, 0.011321984306662449
73, 61, 0.007773032099199987
73, 62, 0.0051531379433137105
73, 63, 0.0032770455423749866
73, 64, 0.0019816330861988202
73, 65, 0.0011260215346402022
73, 66, 0.0005913360263120872
73, 67, 0.00028009947119028933
73, 68, 0.00011523526909988572
74, 15, 5.2607025707222075
74, 16, 4.947603341739824
74, 17, 4.672517274677463
74, 18, 4.4214507560293015
74, 19, 4.186367552930051
74, 20, 3.9625048175588415
74, 21, 3.7470110800495515
74, 22, 3.538201187216072
74, 23, 3.33512490495201
74, 24, 3.1373042138201184
74, 25, 2.944567083253156
74, 26, 2.7569387022619605
74, 27, 2.5745680690738593
74, 28, 2.397677471230388
74, 29, 2.22652684599151
74, 30, 2.0613884134756804
74, 31, 1.9025284464171937
74, 32, 1.7501940506800027
74, 33, 1.6046038474226891
74, 34, 1.465941297170354
74, 35, 1.3343503693351426
74, 36, 1.209932785838343
74, 37, 1.0927466957760177
74, 38, 0.9828064019560123
74, 39, 0.8800830256385334
74, 40, 0.7845058438458614
74, 41, 0.6959642723022672
74, 42, 0.6143103037234026
74, 43, 0.5393613420947311
74, 44, 0.47090330879035297
74, 45, 0.4086939991694393
74, 46, 0.3524665900028091
74, 47, 0.30193323415669837
74, 48, 0.25678869518288455
74, 49, 0.2167139881557481
74, 50, 0.18137997261772998
74, 51, 0.15045085548737305
74, 52, 0.12358759176995504
74, 53, 0.1004511324401432
74, 54, 0.08070551759804129
74, 55, 0.06402078002708832
