type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
4,6,80,10,1,0,0,3.03788234e-02,1.36850017e+00,5.10221039e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.49537697e-03,3.54273797e-06,6.97260670e-04,2.63708895e-06,5.08514007e-07,6.44588222e-08,7.04024821e-04
4,6,80,11,1,0,0,3.03788234e-02,1.36850017e+00,4.89497192e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.47465312e-03,6.08437728e-06,7.76547245e-04,2.90091030e-06,5.44130736e-07,6.11581241e-08,7.86149515e-04
4,6,80,12,1,0,0,3.03788234e-02,1.36850017e+00,4.68679157e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.45383509e-03,7.80852844e-06,8.54989871e-04,3.16472273e-06,5.78669878e-07,6.87196872e-08,8.66622554e-04
4,6,80,13,1,0,0,3.03788234e-02,1.36850017e+00,4.47883700e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.43303963e-03,9.20273802e-06,9.32801485e-04,3.42852828e-06,6.12329146e-07,8.16638905e-08,9.46139117e-04
4,6,80,14,1,0,0,3.03788234e-02,1.36850017e+00,4.27210877e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.41236681e-03,1.04097617e-05,1.01012792e-03,3.69232844e-06,6.45250131e-07,9.83990096e-08,1.02498634e-03
4,6,80,15,1,0,0,3.03788234e-02,1.36850017e+00,4.06746640e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.39190257e-03,1.14946358e-05,1.08707272e-03,3.95612428e-06,6.77538189e-07,1.18237003e-07,1.10333222e-03
4,6,80,16,1,0,0,3.03788234e-02,1.36850017e+00,3.86564889e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.37172082e-03,1.24931388e-05,1.16371158e-03,4.21991662e-06,7.09274219e-07,1.40830890e-07,1.18128798e-03
4,6,80,17,1,0,0,3.03788234e-02,1.36850017e+00,3.66729117e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.35188505e-03,1.34272256e-05,1.24010124e-03,4.48370607e-06,7.40521982e-07,1.65993059e-07,1.25893217e-03
4,6,80,18,1,0,0,3.03788234e-02,1.36850017e+00,3.47293753e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.33244968e-03,1.43113812e-05,1.31628507e-03,4.74749311e-06,7.71332851e-07,1.93620469e-07,1.33632262e-03
4,6,80,19,1,0,0,3.03788234e-02,1.36850017e+00,3.28305261e-04,5.96172618e-03,2.12493611e-06,0.00000000e+00,6.31346119e-03,1.51556742e-05,1.39229687e-03,5.01127813e-06,8.01748996e-07,2.23659020e-07,1.41350317e-03
