type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
3,8,80,10,1,0,0,3.84371857e-02,1.37653582e+00,5.10221039e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,7.51853509e-04,8.36185873e-03,3.02630499e-07,1.14456986e-09,2.86039129e-07,4.77064062e-04,8.84903548e-03
3,8,80,11,1,0,0,3.84371857e-02,1.37653582e+00,4.89497192e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,7.31129662e-04,1.43467638e-02,3.37043075e-07,1.25907565e-09,3.06073539e-07,4.76285004e-04,1.48338130e-02
3,8,80,12,1,0,0,3.84371857e-02,1.37653582e+00,4.68679157e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,7.10311626e-04,1.83972097e-02,3.71089354e-07,1.37357757e-09,3.25501806e-07,4.74806861e-04,1.88834216e-02
3,8,80,13,1,0,0,3.84371857e-02,1.37653582e+00,4.47883700e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,6.89516170e-04,2.16670307e-02,4.04861756e-07,1.48807651e-09,3.44435144e-07,4.72971638e-04,2.21520386e-02
3,8,80,14,1,0,0,3.84371857e-02,1.37653582e+00,4.27210877e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,6.68843347e-04,2.44943371e-02,4.38423577e-07,1.60257311e-09,3.62953198e-07,4.70895294e-04,2.49778912e-02
3,8,80,15,1,0,0,3.84371857e-02,1.37653582e+00,4.06746640e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,6.48379110e-04,2.70331797e-02,4.71819757e-07,1.71706783e-09,3.81115232e-07,4.68639786e-04,2.75150930e-02
3,8,80,16,1,0,0,3.84371857e-02,1.37653582e+00,3.86564889e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,6.28197359e-04,2.93682814e-02,5.05083153e-07,1.83156103e-09,3.98966748e-07,4.66245424e-04,2.98484077e-02
3,8,80,17,1,0,0,3.84371857e-02,1.37653582e+00,3.66729117e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,6.08361587e-04,3.15516035e-02,5.38238385e-07,1.94605298e-09,4.16543615e-07,4.63741336e-04,3.20298265e-02
3,8,80,18,1,0,0,3.84371857e-02,1.37653582e+00,3.47293753e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,5.88926222e-04,3.36174058e-02,5.71304284e-07,2.06054388e-09,4.33874729e-07,4.61149876e-04,3.40936317e-02
3,8,80,19,1,0,0,3.84371857e-02,1.37653582e+00,3.28305261e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,5.69937731e-04,3.55894839e-02,6.04295515e-07,2.17503391e-09,4.50983811e-07,4.58488816e-04,3.60636374e-02
3,8,80,20,1,0,0,3.84371857e-02,1.37653582e+00,3.09803068e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,5.51435537e-04,3.74850342e-02,6.37223675e-07,2.28952319e-09,4.67890646e-07,4.55772614e-04,3.79570547e-02
3,8,80,21,1,0,0,3.84371857e-02,1.37653582e+00,2.91820335e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,5.33452805e-04,3.93168797e-02,6.70098063e-07,2.40401182e-09,4.84611968e-07,4.53013195e-04,3.97867190e-02
3,8,80,22,1,0,0,3.84371857e-02,1.37653582e+00,2.74384629e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,5.16017099e-04,4.10948303e-02,7.02926223e-07,2.51849990e-09,5.01162097e-07,4.50220502e-04,4.15624502e-02
3,8,80,23,1,0,0,3.84371857e-02,1.37653582e+00,2.57518488e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.99150957e-04,4.28265527e-02,7.35714342e-07,2.63298751e-09,5.17553418e-07,4.47402874e-04,4.32919239e-02
3,8,80,24,1,0,0,3.84371857e-02,1.37653582e+00,2.41239919e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.82872388e-04,4.45181489e-02,7.68467547e-07,2.74747469e-09,5.33796743e-07,4.44567346e-04,4.49812492e-02
3,8,80,25,1,0,0,3.84371857e-02,1.37653582e+00,2.25562833e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.67195303e-04,4.61745520e-02,8.01190119e-07,2.86196150e-09,5.49901588e-07,4.41719870e-04,4.66353654e-02
3,8,80,26,1,0,0,3.84371857e-02,1.37653582e+00,2.10497430e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.52129899e-04,4.77998054e-02,8.33885665e-07,2.97644798e-09,5.65876386e-07,4.38865496e-04,4.82583212e-02
3,8,80,27,1,0,0,3.84371857e-02,1.37653582e+00,1.96050534e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.37683004e-04,4.93972634e-02,8.66557243e-07,3.09093417e-09,5.81728664e-07,4.36008517e-04,4.98534754e-02
3,8,80,28,1,0,0,3.84371857e-02,1.37653582e+00,1.82225904e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.23858373e-04,5.09697393e-02,8.99207466e-07,3.20542010e-09,5.97465177e-07,4.33152582e-04,5.14236450e-02
3,8,80,29,1,0,0,3.84371857e-02,1.37653582e+00,1.69024503e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,4.10656973e-04,5.25196148e-02,9.31838580e-07,3.31990580e-09,6.13092020e-07,4.30300801e-04,5.29712152e-02
3,8,80,30,1,0,0,3.84371857e-02,1.37653582e+00,1.56444753e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,3.98077223e-04,5.40489248e-02,9.64452522e-07,3.43439129e-09,6.28614718e-07,4.27455818e-04,5.44982234e-02
3,8,80,31,1,0,0,3.84371857e-02,1.37653582e+00,1.44482754e-04,2.58755477e-06,4.01416461e-05,0.00000000e+00,3.86115224e-04,5.55594211e-02,9.97050979e-07,3.54887658e-09,6.44038304e-07,4.24619880e-04,5.60064239e-02
