type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
1,9,80,10,1,0,0,1.35016993e-02,1.35159419e+00,5.10221039e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,5.13307388e-04,1.57455021e-06,2.39115456e-07,9.04351493e-10,2.26006225e-07,2.86483654e-08,2.07095118e-06
1,9,80,11,1,0,0,1.35016993e-02,1.35159419e+00,4.89497192e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,4.92583541e-04,2.70416768e-06,2.66305640e-07,9.94825207e-10,2.41835883e-07,2.71813885e-08,3.24232643e-06
1,9,80,12,1,0,0,1.35016993e-02,1.35159419e+00,4.68679157e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,4.71765505e-04,3.47045709e-06,2.93206403e-07,1.08529586e-09,2.57186612e-07,3.05420832e-08,4.05443176e-06
1,9,80,13,1,0,0,1.35016993e-02,1.35159419e+00,4.47883700e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,4.50970049e-04,4.09010579e-06,3.19890770e-07,1.17576416e-09,2.72146287e-07,3.62950624e-08,4.72168036e-06
1,9,80,14,1,0,0,1.35016993e-02,1.35159419e+00,4.27210877e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,4.30297226e-04,4.62656075e-06,3.46408752e-07,1.26623060e-09,2.86777836e-07,4.37328931e-08,5.30692495e-06
1,9,80,15,1,0,0,1.35016993e-02,1.35159419e+00,4.06746640e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,4.09832989e-04,5.10872703e-06,3.72795857e-07,1.35669557e-09,3.01128084e-07,5.25497791e-08,5.83884730e-06
1,9,80,16,1,0,0,1.35016993e-02,1.35159419e+00,3.86564889e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,3.89651238e-04,5.55250614e-06,3.99078047e-07,1.44715933e-09,3.15232986e-07,6.25915067e-08,6.33325678e-06
1,9,80,17,1,0,0,1.35016993e-02,1.35159419e+00,3.66729117e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,3.69815466e-04,5.96765581e-06,4.25274773e-07,1.53762211e-09,3.29120881e-07,7.37746927e-08,6.79987570e-06
1,9,80,18,1,0,0,1.35016993e-02,1.35159419e+00,3.47293753e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,3.50380101e-04,6.36061387e-06,4.51400916e-07,1.62808406e-09,3.42814600e-07,8.60535419e-08,7.24513393e-06
1,9,80,19,1,0,0,1.35016993e-02,1.35159419e+00,3.28305261e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,3.31391610e-04,6.73585519e-06,4.77468061e-07,1.71854531e-09,3.56332887e-07,9.94040088e-08,7.67351277e-06
1,9,80,20,1,0,0,1.35016993e-02,1.35159419e+00,3.09803068e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,3.12889416e-04,7.09661609e-06,5.03485373e-07,1.80900597e-09,3.69691375e-07,1.13815460e-07,8.08826280e-06
1,9,80,21,1,0,0,1.35016993e-02,1.35159419e+00,2.91820335e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.94906684e-04,7.44531174e-06,5.29460198e-07,1.89946613e-09,3.82903283e-07,1.29285954e-07,8.49181795e-06
1,9,80,22,1,0,0,1.35016993e-02,1.35159419e+00,2.74384629e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.77470978e-04,7.78379126e-06,5.55398497e-07,1.98992585e-09,3.95979928e-07,1.45819404e-07,8.88604863e-06
1,9,80,23,1,0,0,1.35016993e-02,1.35159419e+00,2.57518488e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.60604836e-04,8.11350092e-06,5.81305159e-07,2.08038519e-09,4.08931096e-07,1.63423809e-07,9.27242388e-06
1,9,80,24,1,0,0,1.35016993e-02,1.35159419e+00,2.41239919e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.44326267e-04,8.43559263e-06,6.07184235e-07,2.17084420e-09,4.21765328e-07,1.82110090e-07,9.65211923e-06
1,9,80,25,1,0,0,1.35016993e-02,1.35159419e+00,2.25562833e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.28649182e-04,8.75099835e-06,6.33039107e-07,2.26130291e-09,4.34490143e-07,2.01891318e-07,1.00260907e-05
1,9,80,26,1,0,0,1.35016993e-02,1.35159419e+00,2.10497430e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,2.13583778e-04,9.06048247e-06,6.58872624e-07,2.35176137e-09,4.47112206e-07,2.22782176e-07,1.03951270e-05
1,9,80,27,1,0,0,1.35016993e-02,1.35159419e+00,1.96050534e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,1.99136883e-04,9.36467955e-06,6.84687204e-07,2.44221959e-09,4.59637463e-07,2.44798577e-07,1.07598870e-05
1,9,80,28,1,0,0,1.35016993e-02,1.35159419e+00,1.82225904e-04,2.04448772e-06,9.44416049e-07,0.00000000e+00,1.85312252e-04,9.66412209e-06,7.10484912e-07,2.53267761e-09,4.72071251e-07,2.67957397e-07,1.11209277e-05
