type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
3,4,80,10,1,0,0,7.36700765e-02,1.41185635e+00,5.10221039e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,5.85056871e-04,2.09276534e-03,1.21052200e-06,4.57827944e-09,1.14415652e-06,1.24198769e-04,2.22171126e-03
3,4,80,11,1,0,0,7.36700765e-02,1.41185635e+00,4.89497192e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,5.64333024e-04,3.59047971e-03,1.34817230e-06,5.03630261e-09,1.22429416e-06,1.24270186e-04,3.71986479e-03
3,4,80,12,1,0,0,7.36700765e-02,1.41185635e+00,4.68679157e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,5.43514989e-04,4.60399120e-03,1.48435742e-06,5.49431029e-09,1.30200722e-06,1.23908678e-04,4.73337621e-03
3,4,80,13,1,0,0,7.36700765e-02,1.41185635e+00,4.47883700e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,5.22719532e-04,5.42211062e-03,1.61944702e-06,5.95230604e-09,1.37774058e-06,1.23351151e-04,5.55129426e-03
3,4,80,14,1,0,0,7.36700765e-02,1.41185635e+00,4.27210877e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,5.02046710e-04,6.12947173e-03,1.75369431e-06,6.41029243e-09,1.45181279e-06,1.22672034e-04,6.25832789e-03
3,4,80,15,1,0,0,7.36700765e-02,1.41185635e+00,4.06746640e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,4.81582473e-04,6.76463577e-03,1.88727903e-06,6.86827132e-09,1.52446093e-06,1.21907597e-04,6.89307520e-03
3,4,80,16,1,0,0,7.36700765e-02,1.41185635e+00,3.86564889e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,4.61400721e-04,7.34880984e-03,2.02033261e-06,7.32624413e-09,1.59586699e-06,1.21079365e-04,7.47676526e-03
3,4,80,17,1,0,0,7.36700765e-02,1.41185635e+00,3.66729117e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,4.41564949e-04,7.89500022e-03,2.15295354e-06,7.78421192e-09,1.66617446e-06,1.20201683e-04,8.02241906e-03
3,4,80,18,1,0,0,7.36700765e-02,1.41185635e+00,3.47293753e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,4.22129585e-04,8.41178202e-03,2.28521713e-06,8.24217554e-09,1.73549891e-06,1.19284856e-04,8.53862232e-03
3,4,80,19,1,0,0,7.36700765e-02,1.41185635e+00,3.28305261e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,4.03141094e-04,8.90511110e-03,2.41718206e-06,8.70013563e-09,1.80393524e-06,1.18336671e-04,9.03133894e-03
3,4,80,20,1,0,0,7.36700765e-02,1.41185635e+00,3.09803068e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,3.84638900e-04,9.37929136e-03,2.54889470e-06,9.15809274e-09,1.87156258e-06,1.17363224e-04,9.50487913e-03
3,4,80,21,1,0,0,7.36700765e-02,1.41185635e+00,2.91820335e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,3.66656168e-04,9.83753205e-03,2.68039225e-06,9.61604729e-09,1.93844787e-06,1.16369414e-04,9.96245721e-03
3,4,80,22,1,0,0,7.36700765e-02,1.41185635e+00,2.74384629e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,3.49220462e-04,1.02822882e-02,2.81170489e-06,1.00739996e-08,2.00464839e-06,1.15359253e-04,1.04065324e-02
3,4,80,23,1,0,0,7.36700765e-02,1.41185635e+00,2.57518488e-04,1.03502191e-05,1.44815450e-05,0.00000000e+00,3.32354320e-04,1.07154785e-02,2.94285737e-06,1.05319500e-08,2.07021367e-06,1.14336074e-04,1.08390269e-02
