type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
3,9,80,10,1,0,0,4.05241299e-02,1.37861663e+00,5.10221039e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,8.14208259e-04,1.05821626e-02,2.39115456e-07,9.04351493e-10,2.26006225e-07,6.02056276e-04,1.11967348e-02
3,9,80,11,1,0,0,4.05241299e-02,1.37861663e+00,4.89497192e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,7.93484412e-04,1.81562811e-02,2.66305640e-07,9.94825207e-10,2.41835883e-07,6.00979140e-04,1.87705746e-02
3,9,80,12,1,0,0,4.05241299e-02,1.37861663e+00,4.68679157e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,7.72666377e-04,2.32823080e-02,2.93206403e-07,1.08529586e-09,2.57186612e-07,5.99109303e-04,2.38955171e-02
3,9,80,13,1,0,0,4.05241299e-02,1.37861663e+00,4.47883700e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,7.51870920e-04,2.74204399e-02,3.19890770e-07,1.17576416e-09,2.72146287e-07,5.96826019e-04,2.80321395e-02
3,9,80,14,1,0,0,4.05241299e-02,1.37861663e+00,4.27210877e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,7.31198098e-04,3.09985602e-02,3.46408752e-07,1.26623060e-09,2.86777836e-07,5.94259987e-04,3.16084569e-02
3,9,80,15,1,0,0,4.05241299e-02,1.37861663e+00,4.06746640e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,7.10733861e-04,3.42116224e-02,3.72795857e-07,1.35669557e-09,3.01128084e-07,5.91482290e-04,3.48194946e-02
3,9,80,16,1,0,0,4.05241299e-02,1.37861663e+00,3.86564889e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,6.90552109e-04,3.71668442e-02,3.99078047e-07,1.44715933e-09,3.15232986e-07,5.88539921e-04,3.77725184e-02
3,9,80,17,1,0,0,4.05241299e-02,1.37861663e+00,3.66729117e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,6.70716337e-04,3.99299839e-02,4.25274773e-07,1.53762211e-09,3.29120881e-07,5.85467274e-04,4.05333213e-02
3,9,80,18,1,0,0,4.05241299e-02,1.37861663e+00,3.47293753e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,6.51280973e-04,4.25443975e-02,4.51400916e-07,1.62808406e-09,3.42814600e-07,5.82290996e-04,4.31452869e-02
3,9,80,19,1,0,0,4.05241299e-02,1.37861663e+00,3.28305261e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,6.32292482e-04,4.50401993e-02,4.77468061e-07,1.71854531e-09,3.56332887e-07,5.79032428e-04,4.56385512e-02
3,9,80,20,1,0,0,4.05241299e-02,1.37861663e+00,3.09803068e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,6.13790288e-04,4.74391515e-02,5.03485373e-07,1.80900597e-09,3.69691375e-07,5.75709013e-04,4.80348943e-02
3,9,80,21,1,0,0,4.05241299e-02,1.37861663e+00,2.91820335e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.95807556e-04,4.97574820e-02,5.29460198e-07,1.89946613e-09,3.82903283e-07,5.72335196e-04,5.03505591e-02
3,9,80,22,1,0,0,4.05241299e-02,1.37861663e+00,2.74384629e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.78371850e-04,5.20076056e-02,5.55398497e-07,1.98992585e-09,3.95979928e-07,5.68923045e-04,5.25979725e-02
3,9,80,23,1,0,0,4.05241299e-02,1.37861663e+00,2.57518488e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.61505708e-04,5.41992248e-02,5.81305159e-07,2.08038519e-09,4.08931096e-07,5.65482703e-04,5.47868479e-02
3,9,80,24,1,0,0,4.05241299e-02,1.37861663e+00,2.41239919e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.45227139e-04,5.63400618e-02,6.07184235e-07,2.17084420e-09,4.21765328e-07,5.62022727e-04,5.69249161e-02
3,9,80,25,1,0,0,4.05241299e-02,1.37861663e+00,2.25562833e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.29550054e-04,5.84363598e-02,6.33039107e-07,2.26130291e-09,4.34490143e-07,5.58550364e-04,5.90184279e-02
3,9,80,26,1,0,0,4.05241299e-02,1.37861663e+00,2.10497430e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.14484650e-04,6.04932357e-02,6.58872624e-07,2.35176137e-09,4.47112206e-07,5.55071759e-04,6.10725067e-02
3,9,80,27,1,0,0,4.05241299e-02,1.37861663e+00,1.96050534e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,5.00037754e-04,6.25149348e-02,6.84687204e-07,2.44221959e-09,4.59637463e-07,5.51592130e-04,6.30914030e-02
3,9,80,28,1,0,0,4.05241299e-02,1.37861663e+00,1.82225904e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.86213124e-04,6.45050172e-02,7.10484912e-07,2.53267761e-09,4.72071251e-07,5.48115912e-04,6.50786817e-02
3,9,80,29,1,0,0,4.05241299e-02,1.37861663e+00,1.69024503e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.73011724e-04,6.64664972e-02,7.36267520e-07,2.62313545e-09,4.84418386e-07,5.44646872e-04,6.70373611e-02
3,9,80,30,1,0,0,4.05241299e-02,1.37861663e+00,1.56444753e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.60431973e-04,6.84019500e-02,7.62036561e-07,2.71359312e-09,4.96683234e-07,5.41188211e-04,6.89700197e-02
3,9,80,31,1,0,0,4.05241299e-02,1.37861663e+00,1.44482754e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.48469975e-04,7.03135927e-02,7.87793367e-07,2.80405063e-09,5.08869771e-07,5.37742639e-04,7.08788775e-02
3,9,80,32,1,0,0,4.05241299e-02,1.37861663e+00,1.33132501e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.37119721e-04,7.22033479e-02,8.13539099e-07,2.89450802e-09,5.20981630e-07,5.34312453e-04,7.27658596e-02
3,9,80,33,1,0,0,4.05241299e-02,1.37861663e+00,1.22386067e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.26373287e-04,7.40728945e-02,8.39274777e-07,2.98496528e-09,5.33022147e-07,5.30899589e-04,7.46326469e-02
3,9,80,34,1,0,0,4.05241299e-02,1.37861663e+00,1.12233788e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.16221009e-04,7.59237068e-02,8.65001298e-07,3.07542243e-09,5.44994393e-07,5.27505676e-04,7.64807156e-02
3,9,80,35,1,0,0,4.05241299e-02,1.37861663e+00,1.02664426e-04,2.04448772e-06,5.02406022e-05,0.00000000e+00,4.06651646e-04,7.77570874e-02,8.90719456e-07,3.16587947e-09,5.56901203e-07,5.24132074e-04,7.83113696e-02
3,9,80,36,1,0,0,4.05241299e-02,1.37861663e+00,9.36653220e-05,2.04448772e-06,5.02406022e-05,0.00000000e+00,3.97652542e-04,7.95741929e-02,9.16429955e-07,3.25633642e-09,5.68745203e-07,5.20779916e-04,8.01257669e-02
3,9,80,37,1,0,0,4.05241299e-02,1.37861663e+00,8.52225450e-05,2.04448772e-06,5.02406022e-05,0.00000000e+00,3.89209765e-04,8.13760552e-02,9.42133421e-07,3.34679329e-09,5.80528832e-07,5.17450132e-04,8.19249403e-02
3,9,80,38,1,0,0,4.05241299e-02,1.37861663e+00,7.73210270e-05,2.04448772e-06,5.02406022e-05,0.00000000e+00,3.81308247e-04,8.31635994e-02,9.67830415e-07,3.43725007e-09,5.92254362e-07,5.14143485e-04,8.37098159e-02
