type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
4,9,80,10,1,0,0,1.35016993e-02,1.35159419e+00,5.10221039e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.39726187e-02,1.57455021e-06,1.56883651e-03,5.93345015e-06,2.26006225e-07,2.86483654e-08,1.57661768e-03
4,9,80,11,1,0,0,1.35016993e-02,1.35159419e+00,4.89497192e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.39518949e-02,2.70416768e-06,1.74723130e-03,6.52704818e-06,2.41835883e-07,2.71813885e-08,1.75675058e-03
4,9,80,12,1,0,0,1.35016993e-02,1.35159419e+00,4.68679157e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.39310768e-02,3.47045709e-06,1.92372721e-03,7.12062613e-06,2.57186612e-07,3.05420832e-08,1.93462555e-03
4,9,80,13,1,0,0,1.35016993e-02,1.35159419e+00,4.47883700e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.39102814e-02,4.09010579e-06,2.09880334e-03,7.71418863e-06,2.72146287e-07,3.62950624e-08,2.11093605e-03
4,9,80,14,1,0,0,1.35016993e-02,1.35159419e+00,4.27210877e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.38896086e-02,4.62656075e-06,2.27278782e-03,8.30773899e-06,2.86777836e-07,4.37328931e-08,2.28607300e-03
4,9,80,15,1,0,0,1.35016993e-02,1.35159419e+00,4.06746640e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.38691443e-02,5.10872703e-06,2.44591362e-03,8.90127963e-06,3.01128084e-07,5.25497791e-08,2.46029801e-03
4,9,80,16,1,0,0,1.35016993e-02,1.35159419e+00,3.86564889e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.38489626e-02,5.55250614e-06,2.61835106e-03,9.49481239e-06,3.15232986e-07,6.25915067e-08,2.63379722e-03
4,9,80,17,1,0,0,1.35016993e-02,1.35159419e+00,3.66729117e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.38291268e-02,5.96765581e-06,2.79022779e-03,1.00883387e-05,3.29120881e-07,7.37746927e-08,2.80670796e-03
4,9,80,18,1,0,0,1.35016993e-02,1.35159419e+00,3.47293753e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.38096914e-02,6.36061387e-06,2.96164141e-03,1.06818595e-05,3.42814600e-07,8.60535419e-08,2.97913427e-03
4,9,80,19,1,0,0,1.35016993e-02,1.35159419e+00,3.28305261e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37907029e-02,6.73585519e-06,3.13266795e-03,1.12753758e-05,3.56332887e-07,9.94040088e-08,3.15115665e-03
4,9,80,20,1,0,0,1.35016993e-02,1.35159419e+00,3.09803068e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37722008e-02,7.09661609e-06,3.30336753e-03,1.18688882e-05,3.69691375e-07,1.13815460e-07,3.32283846e-03
4,9,80,21,1,0,0,1.35016993e-02,1.35159419e+00,2.91820335e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37542180e-02,7.44531174e-06,3.47378836e-03,1.24623973e-05,3.82903283e-07,1.29285954e-07,3.49423034e-03
4,9,80,22,1,0,0,1.35016993e-02,1.35159419e+00,2.74384629e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37367823e-02,7.78379126e-06,3.64396954e-03,1.30559035e-05,3.95979928e-07,1.45819404e-07,3.66537325e-03
4,9,80,23,1,0,0,1.35016993e-02,1.35159419e+00,2.57518488e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37199162e-02,8.11350092e-06,3.81394315e-03,1.36494072e-05,4.08931096e-07,1.63423809e-07,3.83630075e-03
4,9,80,24,1,0,0,1.35016993e-02,1.35159419e+00,2.41239919e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.37036376e-02,8.43559263e-06,3.98373576e-03,1.42429088e-05,4.21765328e-07,1.82110090e-07,4.00704059e-03
4,9,80,25,1,0,0,1.35016993e-02,1.35159419e+00,2.25562833e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36879605e-02,8.75099835e-06,4.15336958e-03,1.48364084e-05,4.34490143e-07,2.01891318e-07,4.17761590e-03
4,9,80,26,1,0,0,1.35016993e-02,1.35159419e+00,2.10497430e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36728951e-02,9.06048247e-06,4.32286329e-03,1.54299063e-05,4.47112206e-07,2.22782176e-07,4.34804618e-03
4,9,80,27,1,0,0,1.35016993e-02,1.35159419e+00,1.96050534e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36584482e-02,9.36467955e-06,4.49223275e-03,1.60234027e-05,4.59637463e-07,2.44798577e-07,4.51834793e-03
4,9,80,28,1,0,0,1.35016993e-02,1.35159419e+00,1.82225904e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36446236e-02,9.66412209e-06,4.66149151e-03,1.66168978e-05,4.72071251e-07,2.67957397e-07,4.68853527e-03
4,9,80,29,1,0,0,1.35016993e-02,1.35159419e+00,1.69024503e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36314222e-02,9.95926126e-06,4.83065120e-03,1.72103917e-05,4.84418386e-07,2.92276268e-07,4.85862029e-03
4,9,80,30,1,0,0,1.35016993e-02,1.35159419e+00,1.56444753e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36188424e-02,1.02504827e-05,4.99972188e-03,1.78038844e-05,4.96683234e-07,3.17773435e-07,5.02861347e-03
4,9,80,31,1,0,0,1.35016993e-02,1.35159419e+00,1.44482754e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.36068804e-02,1.05381185e-05,5.16871228e-03,1.83973762e-05,5.08869771e-07,3.44467641e-07,5.19852390e-03
4,9,80,32,1,0,0,1.35016993e-02,1.35159419e+00,1.33132501e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.35955302e-02,1.08224570e-05,5.33763003e-03,1.89908671e-05,5.20981630e-07,3.72378043e-07,5.36835951e-03
4,9,80,33,1,0,0,1.35016993e-02,1.35159419e+00,1.22386067e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.35847837e-02,1.11037499e-05,5.50648181e-03,1.95843572e-05,5.33022147e-07,4.01524141e-07,5.53812727e-03
4,9,80,34,1,0,0,1.35016993e-02,1.35159419e+00,1.12233788e-04,1.34138839e-02,9.44416049e-07,0.00000000e+00,1.35746315e-02,1.13822185e-05,5.67527352e-03,2.01778465e-05,5.44994393e-07,4.31925736e-07,5.70783330e-03
