type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
1,7,80,10,1,0,0,2.23191355e-02,1.36042670e+00,5.10221039e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,5.15322962e-04,2.60282790e-06,3.95272488e-07,1.49494839e-09,3.73602128e-07,4.73575020e-08,3.42340910e-06
1,7,80,11,1,0,0,2.23191355e-02,1.36042670e+00,4.89497192e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,4.94599116e-04,4.47015473e-06,4.40219527e-07,1.64450698e-09,3.99769520e-07,4.49324993e-08,5.35976410e-06
1,7,80,12,1,0,0,2.23191355e-02,1.36042670e+00,4.68679157e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,4.73781080e-04,5.73687804e-06,4.84688136e-07,1.79406050e-09,4.25145216e-07,5.04879334e-08,6.70222393e-06
1,7,80,13,1,0,0,2.23191355e-02,1.36042670e+00,4.47883700e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,4.52985623e-04,6.76119528e-06,5.28799028e-07,1.94361014e-09,4.49874474e-07,5.99979603e-08,7.80522673e-06
1,7,80,14,1,0,0,2.23191355e-02,1.36042670e+00,4.27210877e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,4.32312801e-04,7.64798817e-06,5.72634876e-07,2.09315671e-09,4.74061320e-07,7.22931499e-08,8.77267185e-06
1,7,80,15,1,0,0,2.23191355e-02,1.36042670e+00,4.06746640e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,4.11848564e-04,8.44503856e-06,6.16254376e-07,2.24270084e-09,4.97783160e-07,8.68680021e-08,9.65197207e-06
1,7,80,16,1,0,0,2.23191355e-02,1.36042670e+00,3.86564889e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,3.91666812e-04,9.17863259e-06,6.59700445e-07,2.39224298e-09,5.21099426e-07,1.03467593e-07,1.04692612e-05
1,7,80,17,1,0,0,2.23191355e-02,1.36042670e+00,3.66729117e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,3.71831040e-04,9.86490042e-06,7.03005237e-07,2.54178348e-09,5.44056966e-07,1.21954084e-07,1.12406109e-05
1,7,80,18,1,0,0,2.23191355e-02,1.36042670e+00,3.47293753e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,3.52395676e-04,1.05144841e-05,7.46193350e-07,2.69132262e-09,5.66693523e-07,1.42251773e-07,1.19766500e-05
1,7,80,19,1,0,0,2.23191355e-02,1.36042670e+00,3.28305261e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,3.33407185e-04,1.11347810e-05,7.89283938e-07,2.84086062e-09,5.89040079e-07,1.64320913e-07,1.26847864e-05
1,7,80,20,1,0,0,2.23191355e-02,1.36042670e+00,3.09803068e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,3.14904991e-04,1.17311409e-05,8.32292147e-07,2.99039763e-09,6.11122477e-07,1.88143924e-07,1.33703936e-05
1,7,80,21,1,0,0,2.23191355e-02,1.36042670e+00,2.91820335e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.96922259e-04,1.23075561e-05,8.75230123e-07,3.13993381e-09,6.32962571e-07,2.13717597e-07,1.40374950e-05
1,7,80,22,1,0,0,2.23191355e-02,1.36042670e+00,2.74384629e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.79486553e-04,1.28670835e-05,9.18107719e-07,3.28946926e-09,6.54579065e-07,2.41048403e-07,1.46891824e-05
1,7,80,23,1,0,0,2.23191355e-02,1.36042670e+00,2.57518488e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.62620411e-04,1.34121138e-05,9.60933018e-07,3.43900409e-09,6.75988138e-07,2.70149561e-07,1.53278844e-05
1,7,80,24,1,0,0,2.23191355e-02,1.36042670e+00,2.41239919e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.46341842e-04,1.39445511e-05,1.00371271e-06,3.58853837e-09,6.97203910e-07,3.01039128e-07,1.59555440e-05
1,7,80,25,1,0,0,2.23191355e-02,1.36042670e+00,2.25562833e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.30664757e-04,1.44659360e-05,1.04645240e-06,3.73807216e-09,7.18238809e-07,3.33738710e-07,1.65737418e-05
1,7,80,26,1,0,0,2.23191355e-02,1.36042670e+00,2.10497430e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.15599353e-04,1.49775322e-05,1.08915679e-06,3.88760552e-09,7.39103851e-07,3.68272577e-07,1.71837814e-05
1,7,80,27,1,0,0,2.23191355e-02,1.36042670e+00,1.96050534e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,2.01152457e-04,1.54803886e-05,1.13182987e-06,4.03713851e-09,7.59808867e-07,4.04667036e-07,1.77867520e-05
1,7,80,28,1,0,0,2.23191355e-02,1.36042670e+00,1.82225904e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.87327827e-04,1.59753855e-05,1.17447506e-06,4.18667115e-09,7.80362680e-07,4.42949982e-07,1.83835743e-05
1,7,80,29,1,0,0,2.23191355e-02,1.36042670e+00,1.69024503e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.74126427e-04,1.64632686e-05,1.21709529e-06,4.33620349e-09,8.00773251e-07,4.83150565e-07,1.89750341e-05
1,7,80,30,1,0,0,2.23191355e-02,1.36042670e+00,1.56444753e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.61546676e-04,1.69446754e-05,1.25969309e-06,4.48573556e-09,8.21047795e-07,5.25298943e-07,1.95618091e-05
1,7,80,31,1,0,0,2.23191355e-02,1.36042670e+00,1.44482754e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.49584678e-04,1.74201550e-05,1.30227067e-06,4.63526738e-09,8.41192886e-07,5.69426101e-07,2.01444881e-05
1,7,80,32,1,0,0,2.23191355e-02,1.36042670e+00,1.33132501e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.38234424e-04,1.78901839e-05,1.34482994e-06,4.78479897e-09,8.61214531e-07,6.15563703e-07,2.07235874e-05
1,7,80,33,1,0,0,2.23191355e-02,1.36042670e+00,1.22386067e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.27487990e-04,1.83551784e-05,1.38737259e-06,4.93433036e-09,8.81118244e-07,6.63743989e-07,2.12995628e-05
1,7,80,34,1,0,0,2.23191355e-02,1.36042670e+00,1.12233788e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.17335712e-04,1.88155041e-05,1.42990011e-06,5.08386156e-09,9.00909099e-07,7.13999685e-07,2.18728194e-05
1,7,80,35,1,0,0,2.23191355e-02,1.36042670e+00,1.02664426e-04,3.37966337e-06,1.56117755e-06,0.00000000e+00,1.07766349e-04,1.92714843e-05,1.47241379e-06,5.23339260e-09,9.20591784e-07,7.66363942e-07,2.24437198e-05
1,7,80,36,1,0,0,2.23191355e-02,1.36042670e+00,9.36653220e-05,3.37966337e-06,1.56117755e-06,0.00000000e+00,9.87672455e-05,1.97234061e-05,1.51491482e-06,5.38292348e-09,9.40170641e-07,8.20870278e-07,2.30125902e-05
1,7,80,37,1,0,0,2.23191355e-02,1.36042670e+00,8.52225450e-05,3.37966337e-06,1.56117755e-06,0.00000000e+00,9.03244685e-05,2.01715258e-05,1.55740423e-06,5.53245421e-09,9.59649703e-07,8.77552541e-07,2.35797260e-05
1,7,80,38,1,0,0,2.23191355e-02,1.36042670e+00,7.73210270e-05,3.37966337e-06,1.56117755e-06,0.00000000e+00,8.24229505e-05,2.06160733e-05,1.59988293e-06,5.68198481e-09,9.79032722e-07,9.36444877e-07,2.41453959e-05
