type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
3,5,80,10,1,0,0,5.20736869e-02,1.39021789e+00,5.10221039e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,6.12954573e-04,3.26822035e-03,7.74734077e-07,2.93009884e-09,7.32260170e-07,1.90341366e-04,3.46379734e-03
3,5,80,11,1,0,0,5.20736869e-02,1.39021789e+00,4.89497192e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,5.92230726e-04,5.60728299e-03,8.62830272e-07,3.22323367e-09,7.83548260e-07,1.90250094e-04,5.80314175e-03
3,5,80,12,1,0,0,5.20736869e-02,1.39021789e+00,4.68679157e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,5.71412690e-04,7.19021968e-03,9.49988746e-07,3.51635858e-09,8.33284624e-07,1.89675327e-04,7.38587047e-03
3,5,80,13,1,0,0,5.20736869e-02,1.39021789e+00,4.47883700e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,5.50617234e-04,8.46803313e-03,1.03644609e-06,3.80947587e-09,8.81753970e-07,1.88873645e-04,8.66324363e-03
3,5,80,14,1,0,0,5.20736869e-02,1.39021789e+00,4.27210877e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,5.29944411e-04,9.57288398e-03,1.12236436e-06,4.10258715e-09,9.29160188e-07,1.87927235e-04,9.76750471e-03
3,5,80,15,1,0,0,5.20736869e-02,1.39021789e+00,4.06746640e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,5.09480174e-04,1.05649878e-02,1.20785858e-06,4.39569365e-09,9.75654993e-07,1.86877151e-04,1.07589108e-02
3,5,80,16,1,0,0,5.20736869e-02,1.39021789e+00,3.86564889e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,4.89298423e-04,1.14774608e-02,1.29301287e-06,4.68879624e-09,1.02135488e-06,1.85748410e-04,1.16706037e-02
3,5,80,17,1,0,0,5.20736869e-02,1.39021789e+00,3.66729117e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,4.69462651e-04,1.23306133e-02,1.37789026e-06,4.98189563e-09,1.06635165e-06,1.84558101e-04,1.25229111e-02
3,5,80,18,1,0,0,5.20736869e-02,1.39021789e+00,3.47293753e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,4.50027287e-04,1.31378365e-02,1.46253897e-06,5.27499234e-09,1.11071931e-06,1.83318756e-04,1.33292369e-02
3,5,80,19,1,0,0,5.20736869e-02,1.39021789e+00,3.28305261e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,4.31038795e-04,1.39084310e-02,1.54699652e-06,5.56808681e-09,1.15451855e-06,1.82040006e-04,1.40988917e-02
3,5,80,20,1,0,0,5.20736869e-02,1.39021789e+00,3.09803068e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,4.12536602e-04,1.46491181e-02,1.63129261e-06,5.86117935e-09,1.19780005e-06,1.80729487e-04,1.48386047e-02
3,5,80,21,1,0,0,5.20736869e-02,1.39021789e+00,2.91820335e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,3.94553869e-04,1.53649097e-02,1.71545104e-06,6.15427026e-09,1.24060664e-06,1.79393386e-04,1.55533941e-02
3,5,80,22,1,0,0,5.20736869e-02,1.39021789e+00,2.74384629e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,3.77118163e-04,1.60596399e-02,1.79949113e-06,6.44735976e-09,1.28297497e-06,1.78036797e-04,1.62470992e-02
3,5,80,23,1,0,0,5.20736869e-02,1.39021789e+00,2.57518488e-04,6.62414020e-06,1.82523128e-05,0.00000000e+00,3.60252022e-04,1.67363049e-02,1.88342872e-06,6.74044802e-09,1.32493675e-06,1.76663967e-04,1.69227207e-02
