type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
1,3,80,10,1,1,0,1.21515293e-01,1.45979245e+00,5.10221039e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,5.37998178e-04,1.41709519e-05,2.15203910e-06,8.13916344e-09,2.03405603e-06,2.57835289e-07,1.86385606e-05
1,3,80,11,1,1,0,1.21515293e-01,1.45979245e+00,4.89497192e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,5.17274331e-04,2.43375091e-05,2.39675076e-06,8.95342686e-09,2.17652294e-06,2.44632496e-07,2.91809379e-05
1,3,80,12,1,1,0,1.21515293e-01,1.45979245e+00,4.68679157e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,4.96456295e-04,3.12341138e-05,2.63885763e-06,9.76766273e-09,2.31467951e-06,2.74878749e-07,3.64898858e-05
1,3,80,13,1,1,0,1.21515293e-01,1.45979245e+00,4.47883700e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,4.75660839e-04,3.68109521e-05,2.87901693e-06,1.05818774e-08,2.44931658e-06,3.26655562e-07,4.24951233e-05
1,3,80,14,1,1,0,1.21515293e-01,1.45979245e+00,4.27210877e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,4.54988016e-04,4.16390467e-05,3.11767877e-06,1.13960754e-08,2.58100052e-06,3.93596038e-07,4.77623245e-05
1,3,80,15,1,1,0,1.21515293e-01,1.45979245e+00,4.06746640e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,4.34523779e-04,4.59785433e-05,3.35516271e-06,1.22102601e-08,2.71015276e-06,4.72948012e-07,5.25496257e-05
1,3,80,16,1,1,0,1.21515293e-01,1.45979245e+00,3.86564889e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,4.14342028e-04,4.99725552e-05,3.59170242e-06,1.30244340e-08,2.83709688e-06,5.63323560e-07,5.69993110e-05
1,3,80,17,1,1,0,1.21515293e-01,1.45979245e+00,3.66729117e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,3.94506256e-04,5.37089023e-05,3.82747296e-06,1.38385990e-08,2.96208793e-06,6.63972234e-07,6.11988813e-05
1,3,80,18,1,1,0,1.21515293e-01,1.45979245e+00,3.47293753e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,3.75070892e-04,5.72455248e-05,4.06260824e-06,1.46527565e-08,3.08533140e-06,7.74481877e-07,6.52062054e-05
1,3,80,19,1,1,0,1.21515293e-01,1.45979245e+00,3.28305261e-04,1.84003895e-05,8.49974444e-06,0.00000000e+00,3.56082400e-04,6.06226967e-05,4.29721255e-06,1.54669078e-08,3.20699599e-06,8.94636079e-07,6.90616149e-05
