type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
4,5,80,10,1,0,0,4.37455056e-02,1.38188970e+00,5.10221039e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.66831491e-03,5.10154268e-06,4.84208798e-04,1.83131177e-06,7.32260170e-07,9.28207039e-08,4.91977514e-04
4,5,80,11,1,0,0,4.37455056e-02,1.38188970e+00,4.89497192e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.64759106e-03,8.76150328e-06,5.39268920e-04,2.01452104e-06,7.83548260e-07,8.80676987e-08,5.50927715e-04
4,5,80,12,1,0,0,4.37455056e-02,1.38188970e+00,4.68679157e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.62677302e-03,1.12442810e-05,5.93742966e-04,2.19772411e-06,8.33284624e-07,9.89563496e-08,6.08128756e-04
4,5,80,13,1,0,0,4.37455056e-02,1.38188970e+00,4.47883700e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.60597757e-03,1.32519428e-05,6.47778809e-04,2.38092242e-06,8.81753970e-07,1.17596002e-07,6.64422948e-04
4,5,80,14,1,0,0,4.37455056e-02,1.38188970e+00,4.27210877e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.58530475e-03,1.49900568e-05,7.01477723e-04,2.56411697e-06,9.29160188e-07,1.41694574e-07,7.20115039e-04
4,5,80,15,1,0,0,4.37455056e-02,1.38188970e+00,4.06746640e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.56484051e-03,1.65522756e-05,7.54911611e-04,2.74730853e-06,9.75654993e-07,1.70261284e-07,7.75369748e-04
4,5,80,16,1,0,0,4.37455056e-02,1.38188970e+00,3.86564889e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.54465876e-03,1.79901199e-05,8.08133045e-04,2.93049765e-06,1.02135488e-06,2.02796482e-07,8.30290784e-04
4,5,80,17,1,0,0,4.37455056e-02,1.38188970e+00,3.66729117e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.52482298e-03,1.93352048e-05,8.61181415e-04,3.11368477e-06,1.06635165e-06,2.39030004e-07,8.84948978e-04
4,5,80,18,1,0,0,4.37455056e-02,1.38188970e+00,3.47293753e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.50538762e-03,2.06083889e-05,9.14086854e-04,3.29687021e-06,1.11071931e-06,2.78813476e-07,9.39395246e-04
4,5,80,19,1,0,0,4.37455056e-02,1.38188970e+00,3.28305261e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.48639913e-03,2.18241708e-05,9.66872823e-04,3.48005425e-06,1.15451855e-06,3.22068989e-07,9.93667533e-04
4,5,80,20,1,0,0,4.37455056e-02,1.38188970e+00,3.09803068e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.46789694e-03,2.29930361e-05,1.01955788e-03,3.66323710e-06,1.19780005e-06,3.68762092e-07,1.04779490e-03
4,5,80,21,1,0,0,4.37455056e-02,1.38188970e+00,2.91820335e-04,4.14008763e-03,3.05990800e-06,0.00000000e+00,4.44991420e-03,2.41228100e-05,1.07215690e-03,3.84641891e-06,1.24060664e-06,4.18886490e-07,1.10180009e-03
