type,tanb,mHc,mA,stable,unitary,perturb,gam_t_Hcb,gam_t_tot,gam_Hc_WA,gam_Hc_taunu,gam_Hc_cs,gam_Hc_tb,gam_Hc_tot,gam_A_bb,gam_A_tautau,gam_A_mumu,gam_A_cc,gam_A_gg,gam_A_tot
4,10,80,10,1,0,0,1.09363764e-02,1.34902448e+00,5.10221039e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.71300258e-02,1.27538567e-06,1.93683519e-03,7.32524710e-06,1.83065042e-07,2.32051760e-08,1.94566422e-03
4,10,80,11,1,0,0,1.09363764e-02,1.34902448e+00,4.89497192e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.71093020e-02,2.19037582e-06,2.15707568e-03,8.05808418e-06,1.95887065e-07,2.20169247e-08,2.16756481e-03
4,10,80,12,1,0,0,1.09363764e-02,1.34902448e+00,4.68679157e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.70884839e-02,2.81107024e-06,2.37497186e-03,8.79089646e-06,2.08321156e-07,2.47390874e-08,2.38683024e-03
4,10,80,13,1,0,0,1.09363764e-02,1.34902448e+00,4.47883700e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.70676885e-02,3.31298569e-06,2.59111524e-03,9.52368967e-06,2.20438492e-07,2.93990006e-08,2.60422563e-03
4,10,80,14,1,0,0,1.09363764e-02,1.34902448e+00,4.27210877e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.70470157e-02,3.74751420e-06,2.80591089e-03,1.02564679e-05,2.32290047e-07,3.54236434e-08,2.82020693e-03
4,10,80,15,1,0,0,1.09363764e-02,1.34902448e+00,4.06746640e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.70265514e-02,4.13806890e-06,3.01964644e-03,1.09892341e-05,2.43913748e-07,4.25653210e-08,3.03508497e-03
4,10,80,16,1,0,0,1.09363764e-02,1.34902448e+00,3.86564889e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.70063697e-02,4.49752997e-06,3.23253218e-03,1.17219906e-05,2.55338719e-07,5.06991204e-08,3.24908285e-03
4,10,80,17,1,0,0,1.09363764e-02,1.34902448e+00,3.66729117e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.69865339e-02,4.83380120e-06,3.44472566e-03,1.24547391e-05,2.66587914e-07,5.97575011e-08,3.46236597e-03
4,10,80,18,1,0,0,1.09363764e-02,1.34902448e+00,3.47293753e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.69670985e-02,5.15209723e-06,3.65634742e-03,1.31874809e-05,2.77679826e-07,6.97033690e-08,3.67506008e-03
4,10,80,19,1,0,0,1.09363764e-02,1.34902448e+00,3.28305261e-04,1.65603505e-02,7.64977000e-07,0.00000000e+00,1.69481100e-02,5.45604270e-06,3.86749129e-03,1.39202170e-05,2.88629639e-07,8.05172471e-08,3.88726265e-03
