# mHc, mA, xsec
70, 15, 0.018892881467547352
70, 16, 0.01820225047099363
70, 17, 0.017627978829675442
70, 18, 0.017118773458206542
70, 19, 0.016643726191968643
70, 20, 0.016183199487155686
70, 21, 0.015724258036909574
70, 22, 0.01525820946485498
70, 23, 0.014779206282996418
70, 24, 0.014283417864625754
70, 25, 0.013768524230796338
70, 26, 0.013233397959253355
70, 27, 0.012677899342580843
70, 28, 0.012102738720542176
70, 29, 0.01150937837018113
70, 30, 0.010899955190268327
70, 31, 0.01027721088662715
70, 32, 0.009644422135591173
70, 33, 0.009005323856579997
70, 34, 0.008364022901679176
70, 35, 0.007724900317924019
70, 36, 0.0070925027765015415
70, 37, 0.006471425241426317
70, 38, 0.0058661885657911115
70, 39, 0.005281116703026676
70, 40, 0.004720218521292104
70, 41, 0.0041870803834381425
70, 42, 0.0036847742360687726
70, 43, 0.003215785635606255
70, 44, 0.0027819651030405864
70, 45, 0.0023845038506158382
70, 46, 0.002023934635124791
70, 47, 0.0017001556543538609
70, 48, 0.0014124750197619961
70, 49, 0.0011596719792444261
70, 50, 0.0009400706047260164
70, 51, 0.0007516214590295815
70, 52, 0.0005919869186964301
70, 53, 0.00045862630691444976
70, 54, 0.0003488775356067549
70, 55, 0.00026003276891656886
70, 56, 0.00018940631552447182
70, 57, 0.0001343935930819942
70, 58, 9.252069039313973e-05
70, 59, 6.148444148880218e-05
70, 60, 3.91832936322076e-05
70, 61, 2.3739450811106114e-05
70, 62, 1.3512876620355838e-05
70, 63, 7.107738042014093e-06
70, 64, 3.3718012935743853e-06
70, 65, 1.3891712113775559e-06
71, 15, 0.01917972950502326
71, 16, 0.018503582385992586
71, 17, 0.017946214811641006
71, 18, 0.017455768288580514
71, 19, 0.017000929353222317
71, 20, 0.01656172874197548
71, 21, 0.01612492852343902
71, 22, 0.015681537899804945
71, 23, 0.015225400912779043
71, 24, 0.014752360005582969
71, 25, 0.0142597458696504
71, 26, 0.013746058747614113
71, 27, 0.013210765641684516
71, 28, 0.012654167850024798
71, 29, 0.012077310450735821
71, 30, 0.011481914995349094
71, 31, 0.01087032247098713
71, 32, 0.010245437305612134
71, 33, 0.009610666308676538
71, 34, 0.008969847730903379
71, 35, 0.008327168585079857
71, 36, 0.007687069012397468
71, 37, 0.007054135179325706
71, 38, 0.006432982790324626
71, 39, 0.005828135802060956
71, 40, 0.005243904414674391
71, 41, 0.004684268633435557
71, 42, 0.004152772660779535
71, 43, 0.0036524352897733714
71, 44, 0.003185680813602089
71, 45, 0.002754293095780209
71, 46, 0.0023593947329352194
71, 47, 0.002001450616122566
71, 48, 0.001680294679781324
71, 49, 0.0013951766548443742
71, 50, 0.0011448251449225075
71, 51, 0.0009275225352094084
71, 52, 0.0007411873551213744
71, 53, 0.0005834597648153214
71, 54, 0.00045178630770071227
71, 55, 0.0003435008737295933
71, 56, 0.0002558993159429937
71, 57, 0.00018630612006821445
71, 58, 0.00013213204714074262
71, 59, 9.09223301987664e-05
71, 60, 6.039541892209203e-05
71, 61, 3.847260060606185e-05
71, 62, 2.3299019869264113e-05
71, 63, 1.3256701904739915e-05
71, 64, 6.970178152756551e-06
71, 65, 3.305240762327588e-06
71, 66, 1.36122286889154e-06
72, 15, 0.01943393226579148
72, 16, 0.018772458735786476
72, 17, 0.018232042167830125
72, 18, 0.017760353445037753
72, 19, 0.017325742189390207
72, 20, 0.016907962163644905
72, 21, 0.016493520204399387
72, 22, 0.016073170372655866
72, 23, 0.015640488444263977
72, 24, 0.015191027651377148
72, 25, 0.014721803944261584
72, 26, 0.014230975766346184
72, 27, 0.01371764199381673
72, 28, 0.013181712793943031
72, 29, 0.01262382504755265
72, 30, 0.012045283341413249
72, 31, 0.011448013690410147
72, 32, 0.01083452042952338
72, 33, 0.010207839812807746
72, 34, 0.009571484714927855
72, 35, 0.008929377811313312
72, 36, 0.008285770907035285
72, 37, 0.0076451507949734316
72, 38, 0.007012132819336464
72, 39, 0.0063913451168121
72, 40, 0.005787307679238355
72, 41, 0.005204311567217928
72, 42, 0.004646303733746411
72, 43, 0.004116783257148795
72, 44, 0.00361871391926822
72, 45, 0.0031544579943694985
72, 46, 0.0027257330835978016
72, 47, 0.0023335941333604508
72, 48, 0.001978440061545761
72, 49, 0.0016600429252656972
72, 50, 0.0013775969292026404
72, 51, 0.0011297830914019232
72, 52, 0.0009148453020818417
72, 53, 0.0007306732280937408
72, 54, 0.000574887811192536
72, 55, 0.0004449256379049453
72, 56, 0.0003381190679739529
72, 57, 0.0002517698276466292
72, 58, 0.00018321442146882318
72, 59, 0.00012988045574482398
72, 60, 8.933348642723415e-05
72, 61, 5.931446315676743e-05
72, 62, 3.776814157266082e-05
72, 63, 2.2863018197486898e-05
72, 64, 1.3003413873973295e-05
72, 65, 6.834325908350958e-06
72, 66, 3.2395787352203005e-06
72, 67, 1.3336806068434765e-06
73, 15, 0.019655950441707083
73, 16, 0.019009226995352662
73, 17, 0.018485682452911815
73, 18, 0.018032607745760678
73, 19, 0.01761808059870038
73, 20, 0.01722162993989487
73, 21, 0.016829552841624483
73, 22, 0.016432390109748264
73, 23, 0.016023489120427094
73, 24, 0.015598152156911608
73, 25, 0.015153116891359291
73, 26, 0.01468623372989913
73, 27, 0.014196263420139008
73, 28, 0.013682749741670771
73, 29, 0.013145938832614355
73, 30, 0.012586726830964392
73, 31, 0.012006622148251864
73, 32, 0.011407713929753469
73, 33, 0.010792638604628606
73, 34, 0.010164539959902543
73, 35, 0.009527017785814804
73, 36, 0.008884063681983878
73, 37, 0.008239981589152961
73, 38, 0.007599294411074806
73, 39, 0.006966637925056453
73, 40, 0.006346645222273577
73, 41, 0.005743826421993058
73, 42, 0.00516244864348356
73, 43, 0.004606422166186399
73, 44, 0.0040791983034356594
73, 45, 0.0035836845525924568
73, 46, 0.0031221805716063187
73, 47, 0.002696338077901763
73, 48, 0.0023071457440017734
73, 49, 0.0019549383526714283
73, 50, 0.0016394285592398006
73, 51, 0.0013597578170281485
73, 52, 0.0011145626081032242
73, 53, 0.0009020514445061945
73, 54, 0.0007200881950389702
73, 55, 0.0005662775126534207
73, 56, 0.0004380487013213273
73, 57, 0.0003327350057783237
73, 58, 0.00024764610551377715
73, 59, 0.00018013227340381703
73, 60, 0.00012763938149651797
73, 61, 8.775441705904996e-05
73, 62, 5.82416596683637e-05
73, 63, 3.706991681644958e-05
73, 64, 2.243141216724231e-05
73, 65, 1.2752974363899168e-05
73, 66, 6.700151270635255e-06
73, 67, 3.1747962481245037e-06
73, 68, 1.3065346632255538e-06
74, 15, 0.019846410935277278
74, 16, 0.019214415653743572
74, 17, 0.018707555409390293
74, 18, 0.01827282739709067
74, 19, 0.01787809888977871
74, 20, 0.017502723168334393
74, 21, 0.0171328304368838
74, 22, 0.01675878823652918
74, 23, 0.016373754135299904
74, 24, 0.015972817253667955
74, 25, 0.015552474111414723
74, 26, 0.01511030279493478
74, 27, 0.014644759385816669
74, 28, 0.014155050838736452
74, 29, 0.013641057097673291
74, 30, 0.013103282803454627
74, 31, 0.01254282691686733
74, 32, 0.011961360002577333
74, 33, 0.011361102679538404
74, 34, 0.010744799108170042
74, 35, 0.010115681195123953
74, 36, 0.00947742022808912
74, 37, 0.008834063782983494
74, 38, 0.008189957298807596
74, 39, 0.007549650826587823
74, 40, 0.006917792814037824
74, 41, 0.006299015024285436
74, 42, 0.005697812367933159
74, 43, 0.005118423809441377
74, 44, 0.004564719676288905
74, 45, 0.00404010148450766
74, 46, 0.0035474191517834005
74, 47, 0.003088909533223946
74, 48, 0.0026661591104591834
74, 49, 0.0022800915065958804
74, 50, 0.0019309794120254261
74, 51, 0.0016184785031626342
74, 52, 0.001341680291146665
74, 53, 0.0010991796957617267
74, 54, 0.000889152886454311
74, 55, 0.0007094409155235451
74, 56, 0.0005576349703295128
74, 57, 0.00043115966124018774
74, 58, 0.00032735141728483633
74, 59, 0.0002435298494102502
74, 60, 0.00017706066851461434
74, 61, 0.00012540935090504972
74, 62, 8.618536294699147e-05
74, 63, 5.7177087341724746e-05
74, 64, 3.637792355772686e-05
74, 65, 2.200416916692962e-05
74, 66, 1.2505346867476397e-05
74, 67, 6.567625694649109e-06
74, 68, 3.11087530035106e-06
74, 69, 1.2797758054378193e-06
75, 15, 0.020006082889735405
75, 16, 0.01938870941392603
75, 17, 0.018898253408022925
75, 18, 0.018481499931999337
75, 19, 0.018106163406111937
75, 20, 0.017751467291791292
75, 21, 0.017403415141922084
75, 22, 0.01705223871548291
75, 23, 0.016690942469666948
75, 24, 0.016314439030046254
75, 25, 0.01591902032649472
75, 26, 0.015502028539440816
75, 27, 0.015061650381329825
75, 28, 0.014596789327828343
75, 29, 0.01410698858802591
75, 30, 0.013592385640960988
75, 31, 0.013053686732518097
75, 32, 0.01249215145127229
75, 33, 0.01190958063269582
75, 34, 0.011308301878135599
75, 35, 0.010691147721991045
75, 36, 0.01006142262484654
75, 37, 0.009422856430670151
75, 38, 0.008779542053501206
75, 39, 0.008135857345250857
75, 40, 0.007496371491271758
75, 41, 0.006865739102477209
75, 42, 0.006248584798165347
75, 43, 0.005649383667715337
75, 44, 0.005072342668039564
75, 45, 0.004521289464509966
75, 46, 0.003999573912034135
75, 47, 0.003509987367217066
75, 48, 0.0030547038165626844
75, 49, 0.0026352452318334427
75, 50, 0.0022524716759246698
75, 51, 0.0019065957102065662
75, 52, 0.0015972184993670974
75, 53, 0.0013233843644877485
75, 54, 0.0010836495909916659
75, 55, 0.000876160968582096
75, 56, 0.0006987396192124976
75, 57, 0.0005489659855908227
75, 58, 0.0004242624658061114
75, 59, 0.0003219708758640182
75, 60, 0.00023942266364450736
75, 61, 0.00017400053954823473
75, 62, 0.00012319085969404237
75, 63, 8.462654865579381e-05
75, 64, 5.612081800178102e-05
75, 65, 3.5692159707669666e-05
75, 66, 2.15812576208664e-05
75, 67, 1.2260496682203188e-05
75, 68, 6.436721980492402e-06
75, 69, 3.0477988558558404e-06
75, 70, 1.253395293623756e-06
76, 15, 0.020135854995467092
76, 16, 0.019532925309491887
76, 17, 0.019058516570193553
76, 18, 0.018659278148033753
76, 19, 0.01830282547363999
76, 20, 0.017968294609689246
76, 21, 0.017641599518588392
76, 22, 0.017312870991133014
76, 23, 0.016974994694009978
76, 24, 0.01662274137822146
76, 25, 0.016252233807399714
76, 26, 0.01586061428287861
76, 27, 0.015445836143936837
76, 28, 0.015006534636705446
76, 29, 0.014541949402370438
76, 30, 0.01405188036777058
76, 31, 0.013536665183462783
76, 32, 0.012997168993193711
76, 33, 0.01243478009917565
76, 34, 0.011851405010346835
76, 35, 0.011249458945500484
76, 36, 0.010631847152070375
76, 37, 0.010001933967383093
76, 38, 0.009363497096197744
76, 39, 0.008720665648209499
76, 40, 0.00807784183524995
76, 41, 0.007439607278578203
76, 42, 0.006810616694283526
76, 43, 0.006195482539091819
76, 44, 0.0055986557539950965
76, 45, 0.005024308080861826
76, 46, 0.004476221985783027
76, 47, 0.003957694042539399
76, 48, 0.0034714563244549117
76, 49, 0.0030196200920902918
76, 50, 0.002603643606402996
76, 51, 0.0022243248619769154
76, 52, 0.0018818183443575504
76, 53, 0.0015756731516080587
76, 54, 0.0013048891354880698
76, 55, 0.0010679868139791121
76, 56, 0.0008630864764485306
76, 57, 0.0006879921155432204
76, 58, 0.0005402760451927411
76, 59, 0.00041736084846605976
76, 60, 0.00031659582995894394
76, 61, 0.00023532606170581784
76, 62, 0.0001709527662241903
76, 63, 0.0001209843719179548
76, 64, 8.307818466497139e-05
76, 65, 5.507291878868127e-05
76, 66, 3.501262090381498e-05
76, 67, 2.1162647106511007e-05
76, 68, 1.2018390423396267e-05
76, 69, 6.307414351302786e-06
76, 70, 2.9855507122348015e-06
