# mHc, mA, xsec
70, 15, 0.07098200684298553
70, 16, 0.06866074880999505
70, 17, 0.06677751862272077
70, 18, 0.06514166028329373
70, 19, 0.06363730361983017
70, 20, 0.06218978264714049
70, 21, 0.06074880274198458
70, 22, 0.05927938244465854
70, 23, 0.05775671598816892
70, 24, 0.05616314937021081
70, 25, 0.05448635897147388
70, 26, 0.052718243738393546
70, 27, 0.05085425521293389
70, 28, 0.04889299812331541
70, 29, 0.046835998418465
70, 30, 0.044687563260537584
70, 31, 0.04245468630979241
70, 32, 0.04014695321676597
70, 33, 0.03777641710099126
70, 34, 0.035357423544915834
70, 35, 0.032906359523186046
70, 36, 0.030441322354662525
70, 37, 0.027981699315155567
70, 38, 0.025547672765540885
70, 39, 0.02315965518056546
70, 40, 0.020837687730589673
70, 41, 0.01860082631373042
70, 42, 0.01646654951260632
70, 43, 0.01445022616833705
70, 44, 0.012564670862927462
70, 45, 0.010819813703678061
70, 46, 0.009222502209185409
70, 47, 0.007776439058205284
70, 48, 0.006482254333157516
70, 49, 0.005337697013128497
70, 50, 0.0043379261689434085
70, 51, 0.0034758765597655266
70, 52, 0.0027426720027059377
70, 53, 0.0021280602561913795
70, 54, 0.0016208462193487206
70, 55, 0.0012093042282093416
70, 56, 0.0008815549901600262
70, 57, 0.0006258974643385775
70, 58, 0.00043109008451180095
70, 59, 0.00028657974786532975
70, 60, 0.0001826793384680765
70, 61, 0.00011069650112177641
70, 62, 6.301738997495676e-05
70, 63, 3.3149339759172006e-05
70, 64, 1.572618704676421e-05
70, 65, 6.479280484034557e-06
71, 15, 0.07167054406863531
71, 16, 0.06940833264957337
71, 17, 0.0675917453323436
71, 18, 0.06602917138410583
71, 19, 0.06460405035730447
71, 20, 0.06324112157814646
71, 21, 0.06188949830439175
71, 22, 0.060513551479799484
71, 23, 0.05908773114247262
71, 24, 0.05759351313057026
71, 25, 0.0560175553422911
71, 26, 0.05435057408454399
71, 27, 0.05258666651911107
71, 28, 0.05072291204935485
71, 29, 0.04875915174339691
71, 30, 0.04669787119431341
71, 31, 0.04454414252043469
71, 32, 0.042305580238813874
71, 33, 0.03999228100647866
71, 34, 0.03761672580622875
71, 35, 0.03519361290641555
71, 36, 0.03273961859646805
71, 37, 0.030273063547822793
71, 38, 0.027813497886090666
71, 39, 0.02538119943070143
71, 40, 0.022996611429360787
71, 41, 0.020679740159085934
71, 42, 0.01844954237516251
71, 43, 0.016323340061864994
71, 44, 0.014316295493096483
71, 45, 0.012440976975807934
71, 46, 0.010707042879958162
71, 47, 0.009121055962541482
71, 48, 0.007686436412746955
71, 49, 0.0064035465621942724
71, 50, 0.005269893934601904
71, 51, 0.004280431256196936
71, 52, 0.003427928122433672
71, 53, 0.0027033874051126164
71, 54, 0.00209648028808525
71, 55, 0.001595977388288301
