# mHc, mA, xsec
70, 15, 130.4591836053093
70, 16, 123.53758050266232
70, 17, 117.08318348549473
70, 18, 110.93224885968044
70, 19, 104.99151465739335
70, 20, 99.20843919382447
70, 21, 93.55515529421841
70, 22, 88.0192375271295
70, 23, 82.59810248807727
70, 24, 77.29544967230996
70, 25, 72.11891338449313
70, 26, 67.07844925989271
70, 27, 62.18520431601748
70, 28, 57.45069215086015
70, 29, 52.88619173113626
70, 30, 48.50229261184125
70, 31, 44.30856103716317
70, 32, 40.31329119037773
70, 33, 36.52332904732033
70, 34, 32.943952199459474
70, 35, 29.578803188504967
70, 36, 26.429861740590518
70, 37, 23.49745600486158
70, 38, 20.78030548788474
70, 39, 18.275590012548104
70, 40, 15.979044365972472
70, 41, 13.885069103255036
70, 42, 11.986859032348855
70, 43, 10.27654132155385
70, 44, 8.745323141689582
70, 45, 7.383642782587802
70, 46, 6.181323182569672
70, 47, 5.127724051669733
70, 48, 4.211891095897859
70, 49, 3.422699265802136
70, 50, 2.7489892764161006
70, 51, 2.179695355419498
70, 52, 1.7039633976385433
70, 53, 1.3112586422643895
70, 54, 0.9914621720300539
70, 55, 0.7349559960459877
70, 56, 0.5326962880855817
70, 57, 0.376274762066322
70, 58, 0.2579680510406104
70, 59, 0.1707750981406223
70, 60, 0.10844249999651312
70, 61, 0.06547775026814495
70, 62, 0.03715025356063649
70, 63, 0.019479901682419285
70, 64, 0.009212895030758684
70, 65, 0.003784389170306796
71, 15, 137.17370948020027
71, 16, 130.08083546636036
71, 17, 123.47207950277596
71, 18, 117.17488907771234
71, 19, 111.09039427061305
71, 20, 105.16235737825956
71, 21, 99.3604417418119
71, 22, 93.67058747714032
71, 23, 88.08917746901722
71, 24, 82.61933219993294
71, 25, 77.26846256000721
71, 26, 72.046590015948
71, 27, 66.96516767472383
71, 28, 62.0362151862256
71, 29, 57.27168362093754
71, 30, 52.68297506430931
71, 31, 48.280580307230196
71, 32, 44.07380567686733
71, 33, 40.070573466188094
71, 34, 36.277278751666884
71, 35, 32.69870146956162
71, 36, 29.337957503608205
71, 37, 26.196491145667803
71, 38, 23.274100458927283
71, 39, 20.56899012714804
71, 40, 18.07785238868095
71, 41, 15.795965786614458
71, 42, 13.717314064524702
71, 43, 11.834716729630902
71, 44, 10.13997091680388
71, 45, 8.623999346593394
71, 46, 7.277001748681863
71, 47, 6.088607670155256
71, 48, 5.048026879900933
71, 49, 4.144195771282365
71, 50, 3.365918025832569
71, 51, 2.701997421425799
71, 52, 2.14136191159383
71, 53, 1.673177780759247
71, 54, 1.2869531834496688
71, 55, 0.9726306415788915
71, 56, 0.7206680059065292
71, 57, 0.5221078355518591
71, 58, 0.368635054958223
71, 59, 0.2526228731198761
71, 60, 0.16716699584547548
71, 61, 0.10610812692024357
71, 62, 0.06404271530030232
71, 63, 0.03632187168332594
71, 64, 0.019038252875012457
71, 65, 0.009000645508784497
71, 66, 0.003695844751098341
72, 15, 143.977380333559
72, 16, 136.7198699107544
72, 17, 129.9639412672333
72, 18, 123.52807751352414
72, 19, 117.30766416397024
72, 20, 111.24264200797825
72, 21, 105.30008254352667
72, 22, 99.46417460917807
72, 23, 93.7301545040254
72, 24, 88.1004538644691
72, 25, 82.58215586685485
72, 26, 77.18525118471803
72, 27, 71.92140606013326
72, 28, 66.8030645928244
72, 29, 61.84277931791691
72, 30, 57.05270350924411
72, 31, 52.444203975873855
72, 32, 48.02756330084037
72, 33, 43.81175728192899
72, 34, 39.80428923260012
72, 35, 36.01107987834102
72, 36, 32.43639792656644
72, 37, 29.082832517036053
72, 38, 25.951299794614204
72, 39, 23.04107919260411
72, 40, 20.349879091429415
72, 41, 17.873922346197364
72, 42, 15.60805407775761
72, 43, 13.54586310757047
72, 44, 11.679817363217156
72, 45, 10.001406445804612
72, 46, 8.501290702026877
72, 47, 7.169452762788178
72, 48, 5.995348689626601
72, 49, 4.968056493005546
72, 50, 4.076420236634894
72, 51, 3.3091872854768565
72, 52, 2.6551378046849154
72, 53, 2.1032049993876885
72, 54, 1.6425853626638554
72, 55, 1.262838262453746
72, 56, 0.9539743419736171
72, 57, 0.706532662392896
72, 58, 0.5116462566811064
72, 59, 0.361096257445072
72, 60, 0.2473544970886774
72, 61, 0.1636147042161346
72, 62, 0.10381229824621756
72, 63, 0.06263280131623376
72, 64, 0.03550877466313585
72, 65, 0.018605151982629797
72, 66, 0.008792687219538263
72, 67, 0.0036091636587122244
73, 15, 150.8546172751059
73, 16, 143.4394386355252
73, 17, 136.54387888880356
73, 18, 129.9773213686123
73, 19, 123.62928070505548
73, 20, 117.4357543004026
73, 21, 111.36110700089152
73, 22, 105.3876590933454
73, 23, 99.5093874441592
73, 24, 93.7279229649173
73, 25, 88.04991336553522
73, 26, 82.48521422942885
73, 27, 77.04561175623901
73, 28, 71.74388282836522
73, 29, 66.59310332005975
73, 30, 61.60610754565102
73, 31, 56.79508000019905
73, 32, 52.17123454995541
73, 33, 47.74456802186837
73, 34, 43.523672782313206
73, 35, 39.51560498838201
73, 36, 35.725793777759066
73, 37, 32.15799330131622
73, 38, 28.814270405217616
73, 39, 25.69502242439755
73, 40, 22.79902695341676
73, 41, 20.123513043797697
73, 42, 17.664255860259594
73, 43, 15.415688464890298
73, 44, 13.37102830341362
73, 45, 11.522413930091048
73, 46, 9.861050029825003
73, 47, 8.377356432800843
73, 48, 7.061119078511258
73, 49, 5.901639718304685
73, 50, 4.887882368647518
73, 51, 4.00861475730064
73, 52, 3.252542315087052
73, 53, 2.6084342105785976
73, 54, 2.0652398231120164
73, 55, 1.6121952075910257
73, 56, 1.2389186317939367
73, 57, 0.9354952233124221
73, 58, 0.692550172691809
73, 59, 0.5013108106444873
73, 60, 0.3536572140908847
73, 61, 0.24216170164427261
73, 62, 0.16011712876469655
73, 63, 0.10155414200554097
73, 64, 0.061247372085683156
73, 65, 0.03471054125619338
73, 66, 0.01818034643808623
73, 67, 0.008588885778303081
73, 68, 0.0035242845854316735
74, 15, 157.7892352673642
74, 16, 150.22360862264551
74, 17, 143.1962428702615
74, 18, 136.50729730834146
74, 19, 130.04030060327725
74, 20, 123.72719576611595
74, 21, 117.5295249040807
74, 22, 111.4276276011134
74, 23, 105.41410606569762
74, 24, 99.48967927489943
74, 25, 93.66044931555358
74, 26, 87.9360298790627
74, 27, 82.3282226820655
74, 28, 76.8500453303963
74, 29, 71.51500622960219
74, 30, 66.33654459746613
74, 31, 61.32759606722059
74, 32, 56.50024966428788
74, 33, 51.86548113064362
74, 34, 47.432942825310604
74, 35, 43.21081093931747
74, 36, 39.20567319436249
74, 37, 35.422460157001275
74, 38, 31.864413448195492
74, 39, 28.53308436795013
74, 40, 25.42836652581907
74, 41, 22.548551256484615
74, 42, 19.890408413182247
74, 43, 17.449286454049705
74, 44, 15.21922914933583
74, 45, 13.193104764852556
74, 46, 11.362745223828243
74, 47, 9.719092259680483
74, 48, 8.252346231385042
74, 49, 6.95211621143227
74, 50, 5.807568160367997
74, 51, 4.8075692184765355
74, 52, 3.9408260036178695
74, 53, 3.196015714658722
74, 54, 2.561908486721808
74, 55, 2.027480297180575
74, 56, 1.5820154835683538
74, 57, 1.215198541376745
74, 58, 0.9171948982544714
74, 59, 0.6787205883583056
74, 60, 0.49110068674803903
74, 61, 0.3463167645730674
74, 62, 0.2370432858965297
74, 63, 0.1566732112538044
74, 64, 0.0993328163881273
74, 65, 0.0598858201707976
74, 66, 0.033926769197956404
74, 67, 0.017763595561620313
74, 68, 0.00838911333551657
74, 69, 0.0034411493523700274
75, 15, 164.7645661388747
75, 16, 157.0558782670293
75, 17, 149.90472729287399
75, 18, 143.10194591121143
75, 19, 136.52497200484746
75, 20, 130.10158411509514
75, 21, 123.79039430992928
75, 22, 117.56965075814792
75, 23, 111.43046782797256
75, 24, 105.37253846549048
75, 25, 99.40130757846067
75, 26, 93.52603584482503
75, 27, 87.75843452938831
75, 28, 82.1116580281219
75, 29, 76.59955538856192
75, 30, 71.23608391004993
75, 31, 66.03485257670012
75, 32, 61.00876284942818
75, 33, 56.16971617732133
75, 34, 51.52838544706879
75, 35, 47.09404122609522
75, 36, 42.87441784295857
75, 37, 38.875624351623586
75, 38, 35.10209194701087
75, 39, 31.556553703794265
75, 40, 28.240058718111538
75, 41, 25.15201048074358
75, 42, 22.290232957710693
75, 43, 19.651057022272145
75, 44, 17.229426340244355
75, 45, 15.019017383637788
75, 46, 13.01237156744378
75, 47, 11.201036556879867
75, 48, 9.575712414080252
75, 49, 8.126400456395578
75, 50, 6.842552231669895
75, 51, 5.713215723730561
75, 52, 4.727177319814684
75, 53, 3.8730972901365774
75, 54, 3.13963757516019
75, 55, 2.515580741569049
75, 56, 1.9899390995737174
75, 57, 1.5520535714609118
75, 58, 1.1916816803366765
75, 59, 0.8990747096209576
75, 60, 0.6650437869030003
75, 61, 0.48101501870898994
75, 62, 0.3390737377269703
75, 63, 0.2319980705993448
75, 64, 0.1532819199260193
75, 65, 0.09714751004433829
75, 66, 0.058547559876288166
75, 67, 0.03315707370530092
75, 68, 0.017354669954735818
75, 69, 0.00819324845990902
75, 70, 0.0033597027729165975
76, 15, 171.7636078083838
76, 16, 163.9193062545659
76, 17, 156.65249444640114
76, 18, 149.74458658477118
76, 19, 143.0668325815234
76, 20, 136.54274721415112
76, 21, 130.12790744008612
76, 22, 123.798360563294
76, 23, 117.54362283161352
76, 24, 111.36224688831938
76, 25, 105.25890571663858
76, 26, 99.24239481843365
76, 27, 93.32422290645701
76, 28, 87.51757557382341
76, 29, 81.83653987168853
76, 30, 76.29549752230952
76, 31, 70.9086478067708
76, 32, 65.68962729834561
76, 33, 60.65120251898867
76, 34, 55.80501683565829
76, 35, 51.16139854848856
76, 36, 46.72920616081445
76, 37, 42.51571865856608
76, 38, 38.52656240526236
76, 39, 34.76567084473608
76, 40, 31.23527955624075
76, 41, 27.935947017077964
76, 42, 24.86660433255316
76, 43, 22.02462688117829
76, 44, 19.40592771420279
76, 45, 17.00506718201602
76, 46, 14.815376424334238
76, 47, 12.829092492494524
76, 48, 11.037500366622352
76, 49, 9.431079139487412
76, 50, 7.999651089920661
76, 51, 6.732528541592237
76, 52, 5.618658714395762
76, 53, 4.646762852631026
76, 54, 3.805468835364807
