# mHc, mA, xsec
70, 15, 80.5548000776617
70, 16, 76.68791974688999
70, 17, 73.29359546519157
70, 18, 70.17179797547931
70, 19, 67.20516302086527
70, 20, 64.3226289573788
70, 21, 61.480912224531814
70, 22, 58.65434704570225
70, 23, 55.82896707744129
70, 24, 52.99887297390284
70, 25, 50.163893927982706
70, 26, 47.32800432192594
70, 27, 44.49820195856291
70, 28, 41.683668785140725
70, 29, 38.89511277665102
70, 30, 36.14422635301798
70, 31, 33.44322666912777
70, 32, 30.804451947421022
70, 33, 28.240004536501807
70, 34, 25.76143630300516
70, 35, 23.37947017361721
70, 36, 21.10376349146129
70, 37, 18.94271193379982
70, 38, 16.903296678663253
70, 39, 14.990976009543893
70, 40, 13.209621161960733
70, 41, 11.561496686569479
70, 42, 10.047281245851927
70, 43, 8.666127369035241
70, 44, 7.415754202373715
70, 45, 6.292568620021855
70, 46, 5.291808701162242
70, 47, 4.4077034409089535
70, 48, 3.633642878287018
70, 49, 2.962352719465685
70, 50, 2.3860687624080303
70, 51, 1.8967060452149258
70, 52, 1.4860198578806658
70, 53, 1.1457548095981211
70, 54, 0.8677805878337425
70, 55, 0.6442124480881642
70, 56, 0.46751586820580365
70, 57, 0.3305949555006292
70, 58, 0.22686464660879072
70, 59, 0.15030707893618825
70, 60, 0.09551258452319002
70, 61, 0.0577059032473097
70, 62, 0.032758123918898624
70, 63, 0.017184829766806124
70, 64, 0.00813074970944125
70, 65, 0.0033410612448458703
71, 15, 83.66089021279072
71, 16, 79.77123704263856
71, 17, 76.37035660662494
71, 18, 73.25094986139092
71, 19, 70.29088265029698
71, 20, 67.41571213015803
71, 21, 64.57960565077889
71, 22, 61.75488580598613
71, 23, 58.92594802332364
71, 24, 56.08554115022345
71, 25, 53.23237898624047
71, 26, 50.369534229509625
71, 27, 47.50330753915225
71, 28, 44.642385947515834
71, 29, 41.7971869410238
71, 30, 38.97932000721833
71, 31, 36.201127303653394
71, 32, 33.47527733317648
71, 33, 30.814402640629762
71, 34, 28.230771688340255
71, 35, 25.735995487627886
71, 36, 23.34076813188603
71, 37, 21.05464537165723
71, 38, 18.885861765685036
71, 39, 16.841190875901262
71, 40, 14.92584816982664
71, 41, 13.143438658661601
71, 42, 11.495946573603218
71, 43, 9.9837665723955
71, 44, 8.605771288854418
71, 45, 7.35941168560216
71, 46, 6.240844177596314
71, 47, 5.245078759697708
71, 48, 4.3661424743897745
71, 49, 3.5972513303156792
71, 50, 2.930986375711701
71, 51, 2.3594676754090345
71, 52, 1.8745228818779471
71, 53, 1.4678461279625703
71, 54, 1.1311450977246198
71, 55, 0.8562738442862557
71, 56, 0.6353503333691278
71, 57, 0.46085790926599357
71, 58, 0.3257304977469147
71, 59, 0.2234216878177876
71, 60, 0.14795813380434022
71, 61, 0.09397781236783286
71, 62, 0.05675374484999292
71, 63, 0.032203782651005534
71, 64, 0.016886924032848846
71, 65, 0.007986510083032111
71, 66, 0.0032804661492567993
72, 15, 86.70565161705068
72, 16, 82.79954881078295
72, 17, 79.39854569490512
72, 18, 76.28827045109468
